value,emory_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
66.0,,,0.0031195239022408085,,0.00490261683134352,,,0.004243251194823388
66.5,,,,,,,0.002629727153817113,
68.4,0.0028466856445709637,,,,,,,
68.5,,,,0.00365343384554221,,0.0034891922986490147,,
69.0,,,0.002019013434693169,,0.003130475447688755,,0.0021706554516135,0.00261462972088452
76.9995,,,,0.03240797879370058,0.03729034659824232,,,
77.4995,,,,,,0.03158975426681193,,0.035586472240110543
77.89949999999999,0.03456689711264742,,,,,,,
77.9995,,,,,,,0.0390512426796906,
78.9995,,,0.03826601877640167,,,,,
88.0,,,,,0.03154473195592414,,,
88.5,,,,0.03335929146319752,,,,
89.0,,,,,,,,0.03139149673774731
89.4,0.03944692964619764,,,,,,,
89.5,,,,,,0.032075441219494245,,
90.5,,,,,,,0.04222089296983077,
92.0,,,0.034916869132374476,,,,,
95.5,,,,,0.034945951226115705,,,
96.0,0.0313135420902806,,,,,,,
96.5,,,,0.033615960208698996,,,,0.035631559915144086
97.5,,,,,,0.03419300761555706,,
98.0,,,,,,,0.038216006254338054,
99.0,,,0.03723323202993389,,,,,
102.0,0.03416022773485156,,,,0.03538437162050946,,,
102.5,,,,0.02769728815817785,,,,
103.0,,,,,,,,0.03705250482529209
103.5,,,,,,0.02965598071611005,0.03795837795578797,
104.0,,,0.030802653076773302,,,,,
107.5,0.03334688897925986,,,0.030628772894032943,0.03235542510625926,,,
108.0,,,0.03498459285345433,,,0.027579695916173232,0.034240582349583784,0.027668803245583913
117.4995,,,0.16818762856925173,,,,,
117.9995,,,,,,,0.16890344214703037,
119.4995,,,,,,0.1681891199661132,,
119.9995,,,,,,,,0.16969771218760846
120.4995,0.170394469296462,,,,,,,
120.9995,,,,0.17246829048785628,0.1642691993520608,,,
132.0,,,0.16334749887832586,,,,,
133.5,,,,,,,0.1544872203345468,
138.0,,,,,,0.16467695356179407,,
139.5,,,,,,,,0.16010269059562185
140.5,0.1610410736071574,,,,,,,
141.0,,,,0.15610483880656678,,,,
143.5,,,,,0.16126178927823698,,,
146.5,,,0.15325560625428564,,,,,
150.5,,,,,,,0.15736840915210826,
158.0,,,,,,0.1668817497653231,,
160.0,0.15697437982919887,,,,,,,
160.5,,,,,,,,0.16086781477800924
161.0,,,,0.16553932656674425,,,,
167.0,,,0.1642120345052359,,,,,
168.0,,,,,0.15661299478048984,,,
176.5,,,,,,,0.15432140637643743,
183.1,0.16226108174054493,,,,,,,
183.9995,,,0.033202612442540656,,,,,
186.0,,,,,,0.1615801159115425,,
190.0,,,,,,,,0.15810243737595198
191.5,,,,0.16379070247505126,,,,
194.0,,,0.03306610681723907,,,,,
198.4995,,,,,,,0.03301890347640611,
201.4995,0.03334688897925986,,,,,,,
201.5,,,,,0.16325544833484856,,,
207.9995,,,,,,0.033320709540894805,,
209.0,,,0.03181427616040363,,,,,
212.0,,,,,,,0.03249953578943546,
212.0,0.03334688897925986,,,,,,,
213.4995,,,,,,,,0.033924604298722696
217.4995,,,,0.03351001608821541,,,,
220.0,,,,,,0.032996200298304405,,
226.0,0.03294021960146401,,,,,,,
226.5,,,,,,,,0.032939506913898936
227.9995,,,,,0.032956907121024025,,,
231.0,,,,,,,0.03129909754725527,
233.5,,,,0.03397311203754572,,,,
235.0,,,0.03176348336959374,,,,,
237.5,,,,,,0.03424505832371592,,
242.0,,,,,0.03148319926899168,,,
245.0,,,,,,,,0.03331979184978791
251.8,0.030500203334688898,,,,,,,
256.5,,,,0.03320856683817964,,,,
261.5,,,,,,,0.03129635682067494,
261.5,,,,,0.03232773539713965,,,
266.0,,,,,,0.03238810443884849,,
275.0,,,,,,,,0.03217939247318194
285.0,,1.0,,,,,,
292.0,,,,0.03223431781270172,,,,
293.0,,,,,0.032116985944395986,,,
399.3,0.032533550223668155,,,,,,,
426.0,,,0.0320174473236432,,,,,
440.5,,,,,,,0.031944538656920644,
442.0,,,,,,0.032745997928740785,,
444.0,,,,,0.03190777480882563,,,
507.0,,,,0.03315723308907934,,,,
624.0,,,,,,,,0.03278466035317768
