value,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability
78.2,,,,,,,,0.986013986013986
78.78,,,,0.7548050819850146,,,,
79,,,,,0.8753993610223643,,,
79.6,,,0.9496263492942153,,,,,
80,0.7607675906183369,,,,,,,
80.34,,,,,,,,0.993006993006993
81,,,,,,,0.7846406844762354,
82,,,,,0.9137380191693291,,,
82.1,,,,,,0.47274857024736444,,
83,0.8351101634683724,,,,,,,
83.2,,,,0.8160495167770659,,,,
84.9,,,0.9664544699695544,,,,,
85,,,,,0.9552715654952076,,,
86,,,,,,,0.8573030348333084,
86.2,,,,,0.9648562300319489,,,
88,0.91727078891258,,,,,,,
88.3,,,,,,0.6031144491145869,,
89,0.940724946695096,,,,,,,
89.3,,,,0.8769681832989467,,,,
90,,,,,0.9776357827476039,,,
91,0.9529495380241649,,,,,,,
92,,,,,,,0.9212081833549915,
92.1,,0.21321026216965572,,,,,,
93,,,,,,,0.9407465758938326,
93.4,,,0.9831165236645447,,,,,
94,0.9702914001421464,,,,,,,
94.1,,,,,,0.7358919589333701,,
94.2,,,0.9867146415721008,,,,,
94.6,,,,,0.9808306709265175,,,
94.7,,,,0.938212618090998,,,,1.0
95,,0.4462499561295757,,,,,0.9600319698241659,
95.16,,,0.9898699141987268,,,,,
95.3,,,,0.9510261700510371,,,,
95.9,,,0.9933019651259342,,,,,
96,0.9887704335465529,,,0.9652513845151482,0.9936102236421726,,0.9692319192244443,
96.2,,0.6066402274242797,,,,,,
96.7,,,,0.9756759691606037,,,,
96.8,,,0.9967893717132577,,,,,
97.3,,0.7962306531428772,,,,,,
97.5,,,,0.9880551634270822,,,,
97.6,,0.8444530235496438,,,,,,
97.9,,0.8822166847997753,,,,,,
98,,0.9265082651879409,,,1.0,,0.9859240774175742,
98.1,,,,,,0.8643974367808172,,
98.4,,0.9645526971536869,,,,,,
98.6,,,,,,0.8960242541169986,,
99,1.0,,1.0,,,0.9251016330186729,,
99.3,,,,,,0.9474264452559774,,
99.7,,,,,,0.9732653483084132,,
100,,1.0,,1.0,,1.0,1.0,
