Variable,Overall__Emory,Overall__JHU,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
  Ethnicity: Hispanic,"1,111 (4.2%)","1,445 (3.9%)","4,552 (8.9%)","1,754 (7.0%)","2,610 (19.4%)",,"1,041 (6.2%)",781 (1.7%),"1,744 (3.4%)","15,038 (5.6%)"
  Ethnicity: Missing,29 (0.1%),,<10,,,,,,,29 (0.1%)
  Sex: Male,"14,685 (56.2%)","21,478 (57.2%)","29,631 (57.7%)","14,569 (57.8%)","7,302 (54.4%)","9,739 (64.5%)","9,792 (58.2%)","27,122 (57.3%)","30,381 (59.3%)","164,699 (58.0%)"
  Sex: Female,"11,415 (43.7%)","16,046 (42.8%)","21,706 (42.3%)","10,654 (42.2%)","6,127 (45.6%)","5,354 (35.5%)","7,035 (41.8%)","20,162 (42.6%)","20,826 (40.7%)","119,325 (42.0%)"
  Sex: Missing,29 (0.1%),,<10,,,,,,,29 (0.1%)
  Sex: Unknown,17 (0.1%),<10,<10,,,,,<10,<10,
  First admission location: Missing,,,,,,,,,,
Ventilator hours,,,,,,,,,,
  First location at IMV start: Missing,,,,,,,,,,
Encounter Types,,,,,,,,,,
"  ICU encounters, n (%)","28,870 (100.0%)","41,799 (100.0%)","57,876 (100.0%)","27,746 (100.0%)","15,093 (100.0%)","15,900 (100.0%)","18,494 (100.0%)","54,583 (100.0%)","57,451 (100.0%)","317,812 (100.0%)"
"  Advanced respiratory support, n (%)","19,944 (69.1%)","30,177 (72.2%)","36,374 (62.8%)","17,884 (64.5%)","10,330 (68.4%)","1,170 (7.4%)","13,459 (72.8%)","37,631 (68.9%)","42,682 (74.3%)","209,651 (66.0%)"
"  Vasoactive support, n (%)","28,870 (100.0%)","41,799 (100.0%)","57,876 (100.0%)","27,746 (100.0%)","15,093 (100.0%)","15,900 (100.0%)","18,494 (100.0%)","54,583 (100.0%)","57,451 (100.0%)","317,812 (100.0%)"
"  Other critically ill, n (%)",0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
"ICU episodes, total n","36,901","48,630","65,649","31,463","17,755","18,120","21,754","60,558","66,023","366,853"
"Encounters with >=1 ICU episode, n (%)","28,870 (100.0%)","41,799 (100.0%)","57,876 (100.0%)","27,746 (100.0%)","15,093 (100.0%)","15,900 (100.0%)","18,494 (100.0%)","54,583 (100.0%)","57,451 (100.0%)","317,812 (100.0%)"
"Hospital mortality, n (%)","7,757 (26.9%)","12,530 (30.0%)","11,857 (20.5%)","4,748 (17.1%)","4,162 (27.6%)","4,194 (26.4%)","5,436 (29.4%)","11,346 (20.8%)","13,890 (24.2%)","75,920 (23.9%)"
"  Discharged to hospice, n (%)","1,565 (5.4%)","2,064 (4.9%)","2,170 (3.7%)",865 (3.1%),"1,005 (6.7%)",379 (2.4%),538 (2.9%),"1,216 (2.2%)","2,288 (4.0%)","12,090 (3.8%)"
"  Expired, n (%)","7,060 (24.5%)","10,469 (25.0%)","9,692 (16.7%)","3,885 (14.0%)","3,742 (24.8%)","3,815 (24.0%)","4,898 (26.5%)","10,133 (18.6%)","12,342 (21.5%)","66,036 (20.8%)"
  First admission location: ed,"15,852 (54.9%)","10,556 (25.3%)","29,153 (50.4%)","8,115 (29.2%)","6,232 (41.3%)","10,066 (63.3%)","10,137 (54.8%)","30,900 (56.6%)","5,735 (10.0%)","126,746 (39.9%)"
  First admission location: ward,"5,099 (17.7%)","9,318 (22.3%)","5,085 (8.8%)","2,435 (8.8%)","1,661 (11.0%)","1,666 (10.5%)","2,165 (11.7%)","4,397 (8.1%)","15,128 (26.3%)","46,954 (14.8%)"
  First admission location: procedural,"3,942 (13.7%)","6,875 (16.4%)","17,438 (30.1%)","10,228 (36.9%)","3,058 (20.3%)",987 (6.2%),"3,852 (20.8%)","15,090 (27.6%)","10,555 (18.4%)","72,025 (22.7%)"
  First admission location: stepdown,,"1,710 (4.1%)",522 (0.9%),741 (2.7%),177 (1.2%),,,842 (1.5%),<10,"3,992 (2.0%)"
  First admission location: icu,"3,827 (13.3%)","13,328 (31.9%)","4,659 (8.0%)","6,079 (21.9%)","3,944 (26.1%)","3,107 (19.5%)","2,295 (12.4%)","3,070 (5.6%)","25,791 (44.9%)","66,100 (20.8%)"
  First admission location: radiology,50 (0.2%),,,,,,,<10,37 (0.1%),87 (0.1%)
  First admission location: other,42 (0.1%),,804 (1.4%),<10,,54 (0.3%),<10,,57 (0.1%),957 (0.5%)
  First admission location: l&d,30 (0.1%),12 (0.0%),215 (0.4%),142 (0.5%),15 (0.1%),20 (0.1%),44 (0.2%),283 (0.5%),48 (0.1%),809 (0.3%)
  First admission location: psych,,,,<10,,,,,,
  First admission location: dialysis,,,,<10,,,,,79 (0.1%),79 (0.1%)
  First admission location: rehab,28 (0.1%),,,,,,,,19 (0.0%),47 (0.1%)
  Admission type: ed,"22,198 (76.9%)","34,956 (83.6%)","42,328 (73.1%)","9,018 (32.5%)","8,087 (53.6%)","11,473 (72.2%)","12,607 (68.2%)","39,792 (72.9%)","24,494 (42.6%)","204,953 (64.5%)"
  Admission type: osh,"5,263 (18.2%)","5,047 (12.1%)","7,279 (12.6%)","7,317 (26.4%)",<10,,"4,406 (23.8%)","3,864 (7.1%)","12,652 (22.0%)","45,828 (16.0%)"
  Admission type: facility,"1,379 (4.8%)",<10,"3,739 (6.5%)",19 (0.1%),"3,151 (20.9%)",,750 (4.1%),"2,097 (3.8%)",787 (1.4%),"11,922 (4.7%)"
  Admission type: direct,16 (0.1%),"1,539 (3.7%)","3,785 (6.5%)","4,656 (16.8%)","1,450 (9.6%)",,729 (3.9%),"1,867 (3.4%)",477 (0.8%),"14,519 (5.0%)"
  Admission type: other,,200 (0.5%),745 (1.3%),"6,663 (24.0%)",,160 (1.0%),<10,17 (0.0%),66 (0.1%),"7,851 (3.0%)"
  Admission type: na,,56 (0.1%),,,,,,,,56 (0.1%)
  Admission type: elective,14 (0.0%),,,73 (0.3%),"2,396 (15.9%)","4,267 (26.8%)",,"6,946 (12.7%)","18,975 (33.0%)","32,671 (16.6%)"
"ICU length of stay (days), median [Q1, Q3]","2.3 [1.1, 4.8]","2.2 [1.0, 4.7]","1.7 [0.9, 3.5]","1.8 [0.8, 3.3]","2.5 [1.0, 4.9]","3.5 [1.6, 7.3]","2.2 [1.1, 4.7]","1.9 [1.0, 3.9]","2.0 [1.0, 4.2]","2.1 [0.8, 7.3]"
"Hospital length of stay (days), median [Q1, Q3]","10.3 [5.7, 20.4]","11.0 [5.8, 21.5]","8.2 [4.5, 15.2]","8.4 [5.1, 16.0]","10.1 [5.6, 18.2]","13.3 [6.9, 25.7]","10.7 [5.4, 20.5]","8.5 [5.0, 15.9]","10.0 [5.5, 19.2]","9.6 [4.5, 25.7]"
"28-day VFD (IMV encounters), n (%)","17,210 (59.6%)","27,793 (66.5%)","31,198 (53.9%)","16,365 (59.0%)","9,158 (60.7%)",124 (0.8%),"12,515 (67.7%)","32,677 (59.9%)","38,018 (66.2%)","185,058 (58.2%)"
"  VFD, median [Q1, Q3]","22 [0, 26]","21 [0, 26]","25 [0, 26]","26 [16, 27]","21 [0, 26]","25 [0, 26]","14 [0, 25]","24 [0, 26]","24 [0, 26]","23.1 [0, 27]"
"Charlson Comorbidity Index, median [Q1, Q3]","3 [1, 5]","3 [1, 4]","3 [1, 5]","2 [0, 4]","4 [2, 6]","3 [0, 6]","3 [1, 4]","2 [1, 4]","2 [1, 4]","2.6 [0, 6]"
"Comorbidities, n (%)",,,,,,,,,,
  Congestive Heart Failure,"13,278 (46.0%)","16,393 (39.2%)","23,261 (40.2%)","8,025 (28.9%)","5,945 (39.4%)","3,996 (25.1%)","7,675 (41.5%)","19,492 (35.7%)","25,947 (45.2%)","124,012 (39.0%)"
  Renal Disease,"11,408 (39.5%)","14,172 (33.9%)","18,937 (32.7%)","5,553 (20.0%)","5,521 (36.6%)","2,725 (17.1%)","6,119 (33.1%)","16,961 (31.1%)","18,873 (32.9%)","100,269 (31.5%)"
  Diabetes With Complications,"7,679 (26.6%)","9,726 (23.3%)","11,715 (20.2%)","3,821 (13.8%)","3,978 (26.4%)",,"3,651 (19.7%)","10,060 (18.4%)","10,967 (19.1%)","61,597 (20.4%)"
  Chronic Pulmonary Disease,"7,654 (26.5%)","11,192 (26.8%)","14,927 (25.8%)","6,520 (23.5%)","3,971 (26.3%)","3,717 (23.4%)","4,845 (26.2%)","14,891 (27.3%)","14,957 (26.0%)","82,674 (26.0%)"
  Peripheral Vascular Disease,"7,049 (24.4%)","7,582 (18.1%)","14,881 (25.7%)","4,528 (16.3%)","4,178 (27.7%)","4,018 (25.3%)","2,088 (11.3%)","10,498 (19.2%)","15,060 (26.2%)","69,882 (22.0%)"
  Cerebrovascular Disease,"5,588 (19.4%)","6,274 (15.0%)","12,607 (21.8%)","4,628 (16.7%)","4,635 (30.7%)","7,193 (45.2%)","3,550 (19.2%)","8,846 (16.2%)","9,338 (16.3%)","62,659 (19.7%)"
  Myocardial Infarction,"5,447 (18.9%)","10,269 (24.6%)","10,984 (19.0%)","4,186 (15.1%)","4,807 (31.8%)","3,771 (23.7%)","2,790 (15.1%)","11,480 (21.0%)","9,585 (16.7%)","63,319 (19.9%)"
  Diabetes Uncomplicated,"4,397 (15.2%)","6,336 (15.2%)","8,299 (14.3%)","4,163 (15.0%)","1,714 (11.4%)","5,459 (34.3%)","2,582 (14.0%)","8,841 (16.2%)","8,690 (15.1%)","50,481 (15.9%)"
  Cancer,"2,557 (8.9%)","3,992 (9.6%)","7,675 (13.3%)","3,486 (12.6%)","1,934 (12.8%)",322 (2.0%),"1,618 (8.7%)","5,393 (9.9%)","5,501 (9.6%)","32,478 (10.2%)"
  Mild Liver Disease,"2,448 (8.5%)","3,603 (8.6%)","4,289 (7.4%)","2,056 (7.4%)","1,744 (11.6%)",742 (4.7%),"1,120 (6.1%)","4,508 (8.3%)","4,199 (7.3%)","24,709 (7.8%)"
  Metastatic Solid Tumor,"2,134 (7.4%)","3,499 (8.4%)","6,668 (11.5%)","2,218 (8.0%)","1,669 (11.1%)","5,536 (34.8%)","1,500 (8.1%)","3,034 (5.6%)","4,104 (7.1%)","30,362 (9.6%)"
  Dementia,"1,987 (6.9%)",388 (0.9%),"2,888 (5.0%)",798 (2.9%),728 (4.8%),"1,586 (10.0%)",915 (4.9%),"2,322 (4.3%)","2,249 (3.9%)","13,861 (4.4%)"
  Moderate Severe Liver Disease,"1,690 (5.9%)","2,699 (6.5%)","3,285 (5.7%)","1,706 (6.1%)","1,424 (9.4%)",137 (0.9%),"1,334 (7.2%)","3,606 (6.6%)","2,802 (4.9%)","18,683 (5.9%)"
  Hemiplegia,"1,559 (5.4%)","2,598 (6.2%)","4,291 (7.4%)","1,906 (6.9%)","1,196 (7.9%)",,"1,674 (9.1%)","2,484 (4.6%)","2,908 (5.1%)","18,616 (6.2%)"
  Connective Tissue Disease,"1,175 (4.1%)","1,611 (3.9%)","2,694 (4.7%)",861 (3.1%),658 (4.4%),152 (1.0%),559 (3.0%),"2,315 (4.2%)","2,121 (3.7%)","12,146 (3.8%)"
  Peptic Ulcer Disease,912 (3.2%),"1,536 (3.7%)","2,523 (4.4%)",693 (2.5%),672 (4.5%),433 (2.7%),702 (3.8%),"1,772 (3.2%)","1,543 (2.7%)","10,786 (3.4%)"
  Aids,382 (1.3%),,183 (0.3%),109 (0.4%),140 (0.9%),"1,988 (12.5%)",133 (0.7%),121 (0.2%),314 (0.5%),"3,370 (1.2%)"
SOFA Scores,,,,,,,,,,
"  Total SOFA score, median [Q1, Q3]","7.0 [4.0, 10.0]","8.0 [5.0, 11.0]","6.0 [3.0, 10.0]","5.0 [2.0, 8.0]","5.0 [3.0, 9.0]","6.0 [4.0, 8.0]","7.0 [3.0, 11.0]","6.0 [3.0, 10.0]","5.0 [3.0, 8.0]","6.1 [2, 11]"
"    Respiratory, median [Q1, Q3]","0.0 [0.0, 1.0]","0.0 [0.0, 2.0]","0.0 [0.0, 2.0]","0.0 [0.0, 0.0]","0.0 [0.0, 1.0]","0.0 [0.0, 2.0]","0.0 [0.0, 2.0]","0.0 [0.0, 2.0]","0.0 [0.0, 0.0]","0 [0, 2]"
"    Coagulation, median [Q1, Q3]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0 [0, 1]"
"    Liver, median [Q1, Q3]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 1.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 1.0]","0 [0, 1]"
"    Cardiovascular, median [Q1, Q3]","3.0 [1.0, 4.0]","3.0 [3.0, 4.0]","3.0 [1.0, 4.0]","3.0 [1.0, 3.0]","2.0 [1.0, 4.0]","1.0 [1.0, 1.0]","2.0 [1.0, 4.0]","3.0 [1.0, 3.0]","3.0 [0.0, 3.0]","2.8 [0, 4]"
"    CNS, median [Q1, Q3]","1.0 [0.0, 3.0]","2.0 [0.0, 4.0]","1.0 [0.0, 3.0]","1.0 [0.0, 3.0]","0.0 [0.0, 2.0]","4.0 [1.0, 4.0]","2.0 [0.0, 4.0]","1.0 [0.0, 3.0]","1.0 [0.0, 3.0]","1.3 [0, 4]"
"    Renal, median [Q1, Q3]","1.0 [0.0, 2.0]","1.0 [0.0, 2.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 2.0]","0.0 [0.0, 1.0]","1.0 [0.0, 2.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.3 [0, 2]"
"  P/F ratio, median [Q1, Q3]","212 [117, 329]","216 [128, 322]","241 [149, 347]","230 [124, 371]","288 [150, 432]","276 [185, 362]","236 [144, 342]","202 [128, 292]","208 [120, 330]","225.1 [117, 432]"
"  P/F ratio (imputed), median [Q1, Q3]","100 [61, 156]","98 [61, 137]","117 [67, 159]","147 [77, 223]","151 [89, 205]","142 [102, 191]","112 [64, 151]","98 [64, 137]","138 [85, 189]","118.7 [61, 223]"
"CRRT, n (%)","4,586 (15.9%)","5,218 (12.5%)","4,574 (7.9%)","1,638 (5.9%)","3,203 (21.2%)","1,054 (6.6%)","2,972 (16.1%)","3,722 (6.8%)","6,127 (10.7%)","33,094 (10.4%)"
"Sepsis events (CDC ASE), n","23,534","17,211,780","37,321","16,064","12,306","7,885","16,543","12,957","43,052","17,381,442"
"Encounters with >=1 sepsis event, n (%)","12,171 (42.2%)","22,481 (53.8%)","19,764 (34.1%)","7,894 (28.5%)","6,452 (42.7%)","5,255 (33.1%)","9,303 (50.3%)","7,432 (13.6%)","24,423 (42.5%)","115,175 (36.2%)"
"Invasive mechanical ventilation, n (%)","17,210 (59.6%)","27,793 (66.5%)","31,198 (53.9%)","16,365 (59.0%)","9,158 (60.7%)",124 (0.8%),"12,515 (67.7%)","32,677 (59.9%)","38,018 (66.2%)","185,058 (58.2%)"
Ventilator hours (millions),2.18,4.11,3.64,1.16,1.14,0.02,2.04,3.96,5.22,23
  First location at IMV start: icu,"11,307 (65.7%)","21,342 (76.8%)","25,428 (81.5%)","5,558 (34.0%)","7,979 (87.1%)",41 (33.1%),"9,129 (72.9%)","26,904 (82.3%)","33,267 (87.5%)","140,955 (76.2%)"
  First location at IMV start: ed,"2,913 (16.9%)","5,452 (19.6%)","4,269 (13.7%)","1,102 (6.7%)",581 (6.3%),40 (32.3%),"2,995 (23.9%)","3,098 (9.5%)","3,510 (9.2%)","23,960 (12.9%)"
  First location at IMV start: procedural,"2,234 (13.0%)",750 (2.7%),"1,203 (3.9%)","9,343 (57.1%)",509 (5.6%),<10,313 (2.5%),"2,487 (7.6%)","1,087 (2.9%)","17,926 (9.7%)"
  First location at IMV start: ward,715 (4.2%),155 (0.6%),208 (0.7%),291 (1.8%),57 (0.6%),40 (32.3%),78 (0.6%),150 (0.5%),145 (0.4%),"1,839 (1.0%)"
  First location at IMV start: stepdown,,94 (0.3%),34 (0.1%),42 (0.3%),12 (0.1%),,,36 (0.1%),,218 (0.2%)
  First location at IMV start: hospice,19 (0.1%),,,<10,19 (0.2%),,,,,38 (0.1%)
  First location at IMV start: radiology,11 (0.1%),,,,,,,<10,<10,
  First location at IMV start: l&d,<10,,<10,16 (0.1%),<10,,,,,
  First location at IMV start: dialysis,,,,12 (0.1%),,,,<10,<10,
  First location at IMV start: rehab,<10,,,,,,,,,
  Initial ventilator mode: pressure-regulated volume control,"8,165 (47.4%)","6,313 (22.7%)","1,839 (5.9%)",349 (2.1%),"7,216 (78.8%)",,34 (0.3%),287 (0.9%),<10,"24,203 (16.7%)"
  Initial ventilator mode: assist control-volume control,"5,071 (29.5%)","12,706 (45.7%)","24,647 (79.0%)","8,436 (51.5%)",620 (6.8%),100 (80.6%),"11,467 (91.6%)","29,063 (88.9%)","21,686 (57.0%)","113,796 (61.5%)"
  Initial ventilator mode: simv,"2,525 (14.7%)","7,427 (26.7%)","2,242 (7.2%)",306 (1.9%),57 (0.6%),,136 (1.1%),"1,649 (5.0%)","14,439 (38.0%)","28,781 (15.6%)"
  Initial ventilator mode: pressure control,542 (3.1%),446 (1.6%),"1,146 (3.7%)","4,512 (27.6%)","1,013 (11.1%)",15 (12.1%),264 (2.1%),420 (1.3%),224 (0.6%),"8,582 (4.7%)"
  Initial ventilator mode: pressure support/cpap,479 (2.8%),740 (2.7%),748 (2.4%),"1,684 (10.3%)",166 (1.8%),<10,471 (3.8%),597 (1.8%),"1,379 (3.6%)","6,264 (3.4%)"
  Initial ventilator mode: other,227 (1.3%),87 (0.3%),52 (0.2%),858 (5.2%),50 (0.5%),,55 (0.4%),189 (0.6%),103 (0.3%),"1,621 (0.9%)"
  Initial ventilator mode: Missing,196 (1.1%),<10,519 (1.7%),167 (1.0%),34 (0.4%),,85 (0.7%),148 (0.5%),180 (0.5%),"1,329 (0.9%)"
  Initial ventilator mode: aprv,,,,,,,,41 (0.1%),,41 (0.1%)
  Initial ventilator mode: standby,,,,41 (0.3%),,,,,,41 (0.3%)
  Initial ventilator mode: blow by,<10,39 (0.1%),<10,,<10,,,283 (0.9%),,
  Initial ventilator mode: ,,,<10,,,,,,,
  Initial ventilator mode: volume support,,34 (0.1%),,12 (0.1%),,,<10,,<10,46 (0.1%)
"  FiO2 (%), median [Q1, Q3]","0.3 [0.2, 0.4]","0.2 [0.2, 0.3]","0.3 [0.2, 0.4]","0.4 [0.2, 0.6]","0.3 [0.2, 0.4]","0.3 [0.2, 0.4]","0.4 [0.4, 0.4]","0.3 [0.2, 0.4]","0.4 [0.2, 0.4]","0.3 [0.2, 0.6]"
"  PEEP (cmH2O), median [Q1, Q3]","6.0 [6.0, 6.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 7.0]","8.0 [8.0, 8.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.2]","5.2 [5, 8]"
"  Respiratory rate (breaths/min), median [Q1, Q3]","16.0 [16.0, 18.0]","16.0 [16.0, 18.0]","16.0 [16.0, 16.0]","16.0 [14.0, 18.0]","16.0 [16.0, 16.0]","16.0 [0.0, 18.0]","16.0 [14.0, 16.0]","16.0 [16.0, 16.0]","20.0 [18.0, 21.0]","16.7 [0, 21]"
"  Tidal volume (mL), median [Q1, Q3]","420.0 [410.0, 430.0]","430.0 [420.0, 440.0]","450.0 [450.0, 480.0]","450.0 [450.0, 475.0]","400.0 [400.0, 410.0]","410.0 [410.0, 410.0]","440.0 [420.0, 450.0]","490.0 [470.0, 500.0]","450.0 [450.0, 450.0]","446.6 [400, 500]"
"Time to extubation (hrs), median [Q1, Q3]","32.0 [10.5, 86.0]","53.5 [19.9, 133.2]","34.3 [12.2, 92.9]","18.4 [7.2, 52.0]","26.1 [12.4, 74.9]","17.9 [3.2, 91.3]","48.6 [21.8, 110.7]","33.2 [11.1, 94.8]","26.1 [8.9, 87.0]","33.2 [3.2, 133.2]"
  Extubation outcome: extubated,"11,096 (64.5%)","14,148 (50.9%)","17,108 (54.8%)","13,447 (82.2%)","5,787 (63.2%)",79 (63.7%),"6,485 (51.8%)","19,731 (60.4%)","23,041 (60.6%)","110,922 (59.9%)"
  Extubation outcome: death_on_imv,"3,560 (20.7%)","6,340 (22.8%)","5,371 (17.2%)","1,796 (11.0%)","2,036 (22.2%)",15 (12.1%),"3,297 (26.3%)","5,766 (17.6%)","6,728 (17.7%)","34,909 (18.9%)"
  Extubation outcome: discharged_on_imv,"2,148 (12.5%)","6,747 (24.3%)","8,079 (25.9%)","1,000 (6.1%)","1,192 (13.0%)",29 (23.4%),"2,428 (19.4%)","6,651 (20.4%)","7,504 (19.7%)","35,778 (19.3%)"
  Extubation outcome: failed_attempt,406 (2.4%),485 (1.7%),640 (2.1%),122 (0.7%),143 (1.6%),<10,305 (2.4%),529 (1.6%),745 (2.0%),"3,375 (1.8%)"
  Extubation outcome: unknown,,73 (0.3%),,,,,,,,73 (0.3%)
"Pre-admit IMV (excluded from time-to-extubation), n (%)","4,532 (15.7%)","5,531 (13.2%)","3,972 (6.9%)","7,554 (27.2%)","2,098 (13.9%)",72 (0.5%),"3,789 (20.5%)","5,438 (10.0%)","8,496 (14.8%)","41,482 (13.1%)"
"Intubated ≤24hr of admission, n (%)","2,662 (9.2%)","4,937 (11.8%)","6,266 (10.8%)","3,624 (13.1%)","1,689 (11.2%)",<10,"2,915 (15.8%)","7,272 (13.3%)","6,213 (10.8%)","35,578 (11.8%)"
"Reintubation (≥2 IMV episodes), n (%)","3,406 (11.8%)","3,603 (8.6%)","3,894 (6.7%)","1,934 (7.0%)","1,497 (9.9%)",12 (0.1%),"2,109 (11.4%)","3,739 (6.9%)","5,933 (10.3%)","26,127 (8.3%)"
"  Time to reintubation (hrs), median [Q1, Q3]","4.7 [2.2, 40.0]","45.6 [8.4, 129.8]","23.4 [4.0, 102.5]","50.6 [14.2, 129.5]","50.2 [12.7, 135.5]","7.7 [5.7, 41.4]","29.5 [5.7, 98.3]","33.4 [7.5, 117.9]","19.1 [3.7, 94.1]","28.8 [2.2, 135.5]"
"  Extubation failure ≤48hr, n (% of extubated)","2,609 (23.5%)","1,847 (13.1%)","2,343 (13.7%)",939 (7.0%),732 (12.6%),10 (12.7%),"1,256 (19.4%)","2,098 (10.6%)","3,746 (16.3%)","15,580 (14.1%)"
"Peak NEE (mcg/kg/min), median [Q1, Q3]","0.290 [0.120, 0.950]","0.680 [0.240, 2.500]","0.289 [0.116, 0.737]","0.120 [0.035, 0.380]","0.309 [0.087, 1.027]","0.275 [0.120, 0.609]","0.360 [0.120, 0.920]","0.230 [0.100, 0.520]","0.295 [0.102, 0.816]","0.3 [0.0, 2.5]"
"Median NEE (mcg/kg/min), median [Q1, Q3]","0.060 [0.035, 0.100]","0.125 [0.070, 0.280]","0.064 [0.035, 0.120]","0.030 [0.015, 0.060]","0.068 [0.036, 0.131]","0.060 [0.037, 0.099]","0.080 [0.040, 0.165]","0.055 [0.030, 0.100]","0.060 [0.030, 0.112]","0.1 [0.0, 0.3]"
"28-day NIDFD (NIPPV/HFNC encounters), n (%)","9,716 (33.7%)","9,090 (21.7%)","15,995 (27.6%)","4,418 (15.9%)","3,756 (24.9%)",60 (0.4%),"4,111 (22.2%)","18,386 (33.7%)","21,788 (37.9%)","87,320 (27.6%)"
"  NIDFD, median [Q1, Q3]","20 [0, 26]","21 [0, 26]","21 [0, 26]","22 [0, 26]","16 [0, 25]","25 [5, 26]","16 [0, 25]","21 [0, 26]","22 [0, 26]","20.8 [0, 26]"
"Vasopressor encounters, n (%)","28,867 (100.0%)","41,799 (100.0%)","57,875 (100.0%)","27,746 (100.0%)","15,093 (100.0%)","15,900 (100.0%)","18,491 (100.0%)","54,583 (100.0%)","57,451 (100.0%)","317,805 (100.0%)"
"  Norepinephrine, n (%)","26,535 (91.9%)","37,446 (89.6%)","40,952 (70.8%)","20,956 (75.5%)","13,337 (88.4%)","15,606 (98.2%)","12,376 (66.9%)","35,572 (65.2%)","42,550 (74.1%)","245,330 (77.2%)"
"    Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.05 [0.03, 0.06]","0.05 [0.03, 0.09]","0.05 [0.02, 0.07]","0.02 [0.02, 0.04]","0.06 [0.04, 0.09]","0.06 [0.04, 0.09]","0.08 [0.04, 0.12]","0.04 [0.03, 0.07]","0.05 [0.03, 0.07]","0.0 [0.0, 0.1]"
"  Epinephrine, n (%)","9,389 (32.5%)","10,452 (25.0%)","10,147 (17.5%)","5,968 (21.5%)","3,040 (20.1%)","1,741 (10.9%)","4,343 (23.5%)","16,509 (30.2%)","22,728 (39.6%)","84,317 (26.5%)"
"    Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.04 [0.03, 0.05]","0.03 [0.02, 0.05]","0.03 [0.02, 0.04]","0.02 [0.02, 0.03]","0.04 [0.02, 0.07]","0.09 [0.06, 0.11]","0.10 [0.05, 0.16]","0.03 [0.02, 0.04]","0.03 [0.02, 0.03]","0.0 [0.0, 0.2]"
