sofa_score,total_encounters__Emory,total_encounters__JHU,total_encounters__MIMIC,total_encounters__NU,total_encounters__OHSU,total_encounters__RUSH,total_encounters__Sunnybrook,total_encounters__UCMC,total_encounters__UCSF,total_encounters__UMN,total_encounters__UPenn,total_encounters__ALL,n_encounters__Emory,n_encounters__JHU,n_encounters__MIMIC,n_encounters__NU,n_encounters__OHSU,n_encounters__RUSH,n_encounters__Sunnybrook,n_encounters__UCMC,n_encounters__UCSF,n_encounters__UMN,n_encounters__UPenn,n_encounters__ALL,n_deaths__Emory,n_deaths__JHU,n_deaths__MIMIC,n_deaths__NU,n_deaths__OHSU,n_deaths__RUSH,n_deaths__Sunnybrook,n_deaths__UCMC,n_deaths__UCSF,n_deaths__UMN,n_deaths__UPenn,n_deaths__ALL,mortality_rate_percent__Emory,mortality_rate_percent__JHU,mortality_rate_percent__MIMIC,mortality_rate_percent__NU,mortality_rate_percent__OHSU,mortality_rate_percent__RUSH,mortality_rate_percent__Sunnybrook,mortality_rate_percent__UCMC,mortality_rate_percent__UCSF,mortality_rate_percent__UMN,mortality_rate_percent__UPenn,mortality_rate_percent__ALL,ci_lower_95__Emory,ci_lower_95__JHU,ci_lower_95__MIMIC,ci_lower_95__NU,ci_lower_95__OHSU,ci_lower_95__RUSH,ci_lower_95__Sunnybrook,ci_lower_95__UCMC,ci_lower_95__UCSF,ci_lower_95__UMN,ci_lower_95__UPenn,ci_lower_95__ALL,ci_upper_95__Emory,ci_upper_95__JHU,ci_upper_95__MIMIC,ci_upper_95__NU,ci_upper_95__OHSU,ci_upper_95__RUSH,ci_upper_95__Sunnybrook,ci_upper_95__UCMC,ci_upper_95__UCSF,ci_upper_95__UMN,ci_upper_95__UPenn,ci_upper_95__ALL,ci_margin_95__Emory,ci_margin_95__JHU,ci_margin_95__MIMIC,ci_margin_95__NU,ci_margin_95__OHSU,ci_margin_95__RUSH,ci_margin_95__Sunnybrook,ci_margin_95__UCMC,ci_margin_95__UCSF,ci_margin_95__UMN,ci_margin_95__UPenn,ci_margin_95__ALL
13.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,204.0,505,15.0,359.0,77.0,32.0,17.0,264.0,139.0,336.0,219.0,2167,115.0,315,8.0,227.0,46.0,20.0,11.0,180.0,74.0,211.0,146.0,1353,56.37,62.38,53.33,63.23,59.74,62.5,64.71,68.18,53.24,62.8,66.67,62.437637,49.63,58.17,30.8,58.27,49.04,46.59,44.01,62.6,45.05,57.66,60.47,56.43815,63.12,66.59,75.87,68.19,70.44,78.41,85.4,73.77,61.42,67.94,72.86,68.437623,6.74,4.21,22.54,4.96,10.7,15.91,20.69,5.58,8.18,5.14,6.2,5.998837
14.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,147.0,405,11.0,301.0,49.0,31.0,12.0,201.0,116.0,214.0,120.0,1607,109.0,279,6.0,200.0,24.0,22.0,9.0,141.0,73.0,127.0,87.0,1077,74.15,68.89,54.55,66.45,48.98,70.97,75.0,70.15,62.93,59.35,72.5,67.02117,67.14,64.4,29.19,61.14,35.5,55.72,52.83,63.87,54.27,52.82,64.6,60.339303,81.16,73.38,79.91,71.75,62.46,86.22,97.17,76.43,71.59,65.87,80.4,73.699832,7.01,4.49,25.36,5.3,13.48,15.25,22.17,6.28,8.66,6.52,7.9,6.678662
15.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,96.0,341,10.0,205.0,44.0,23.0,8.0,166.0,95.0,139.0,79.0,1206,72.0,264,6.0,136.0,26.0,18.0,6.0,115.0,58.0,91.0,58.0,850,75.0,77.42,60.0,66.34,59.09,78.26,75.0,69.28,61.05,65.47,73.42,70.481426,66.45,73.0,34.04,59.93,45.14,62.14,49.04,62.33,51.43,57.66,63.84,63.015489,83.55,81.84,85.96,72.76,73.04,94.38,100.0,76.23,70.68,73.28,82.99,77.942828,8.55,4.42,25.96,6.42,13.95,16.12,25.96,6.95,9.62,7.81,9.57,7.466982
16.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,69.0,226,6.0,149.0,24.0,10.0,8.0,109.0,61.0,115.0,53.0,830,58.0,175,6.0,108.0,18.0,9.0,8.0,85.0,44.0,78.0,42.0,631,84.06,77.43,100.0,72.48,75.0,90.0,100.0,77.98,72.13,67.83,79.25,76.023241,75.46,72.01,80.48,65.38,58.55,70.69,83.78,70.28,61.14,59.41,68.52,67.881458,92.65,82.86,100.0,79.59,91.45,100.0,100.0,85.69,83.12,76.24,89.97,83.758386,8.6,5.42,19.52,7.1,16.45,19.31,16.22,7.7,10.99,8.42,10.73,8.141783
17.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,,3849.0,2571.0,7986.0,6863.0,47818,58.0,143,4.0,100.0,20.0,8.0,,63.0,48.0,92.0,26.0,562,51.0,110,2.0,75.0,14.0,6.0,,50.0,39.0,69.0,21.0,437,87.93,76.92,50.0,75.0,70.0,75.0,,79.37,81.25,75.0,80.77,77.757705,79.48,70.07,15.0,66.62,51.33,49.04,,69.52,70.38,66.27,66.08,68.227206,96.39,83.77,85.0,83.38,88.67,100.0,,89.21,92.12,83.73,95.45,87.273986,8.45,6.85,35.0,8.38,18.67,25.96,,9.85,10.87,8.73,14.68,9.530036
18.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,1293.0,3849.0,2571.0,7986.0,6863.0,49111,41.0,89,1.0,45.0,11.0,6.0,1.0,51.0,25.0,44.0,8.0,322,36.0,74,1.0,36.0,10.0,6.0,1.0,43.0,17.0,40.0,8.0,272,87.8,83.15,100.0,80.0,90.91,100.0,100.0,84.31,68.0,90.91,100.0,84.472081,77.69,75.41,60.33,68.54,72.85,80.48,60.33,74.39,50.81,82.13,83.78,73.708292,97.92,90.88,100.0,91.46,100.0,100.0,100.0,94.23,85.19,99.69,100.0,93.914845,10.11,7.74,39.67,11.46,18.06,19.52,39.67,9.92,17.19,8.78,16.22,10.763789
19.0,4669.0,9730,557.0,8444.0,1765.0,1384.0,,3849.0,2571.0,7986.0,6863.0,47818,32.0,53,1.0,29.0,7.0,3.0,,21.0,15.0,30.0,1.0,192,25.0,45,0.0,21.0,5.0,2.0,,20.0,12.0,28.0,1.0,159,78.12,84.91,0.0,72.41,71.43,66.67,,95.24,80.0,93.33,100.0,82.812083,64.26,75.3,0.0,56.9,43.49,30.12,,84.33,60.93,83.6,60.33,69.506875,91.99,94.51,39.67,87.92,99.37,100.0,,100.0,99.07,100.0,100.0,94.915104,13.87,9.6,39.67,15.51,27.94,36.54,,10.91,19.07,9.74,39.67,13.512135
20.0,4669.0,9730,,8444.0,1765.0,1384.0,,3849.0,2571.0,7986.0,6863.0,47261,10.0,28,,14.0,5.0,3.0,,11.0,5.0,20.0,3.0,99,10.0,27,,11.0,4.0,3.0,,10.0,5.0,19.0,2.0,91,100.0,96.43,,78.57,80.0,100.0,,90.91,100.0,95.0,66.67,91.919596,86.12,87.89,,58.56,50.59,71.93,,72.85,78.28,83.64,30.12,76.430404,100.0,100.0,,98.58,100.0,100.0,,100.0,100.0,100.0,100.0,99.799192,13.88,8.54,,20.01,29.41,28.07,,18.06,21.72,11.36,36.54,15.488889
21.0,4669.0,9730,,8444.0,1765.0,,,3849.0,2571.0,7986.0,,39014,8.0,9,,10.0,3.0,,,4.0,3.0,2.0,,39,8.0,9,,10.0,3.0,,,4.0,2.0,2.0,,38,100.0,100.0,,100.0,100.0,,,100.0,66.67,100.0,,97.436154,83.78,85.04,,86.12,71.93,,,75.51,30.12,67.12,,77.928974,100.0,100.0,,100.0,100.0,,,100.0,100.0,100.0,,100.0,16.22,14.96,,13.88,28.07,,,24.49,36.54,32.88,,19.50641
22.0,4669.0,9730,,8444.0,1765.0,1384.0,,3849.0,2571.0,,,32412,6.0,3,,4.0,1.0,1.0,,3.0,2.0,,,20,6.0,3,,4.0,1.0,0.0,,3.0,2.0,,,19,100.0,100.0,,100.0,100.0,0.0,,100.0,100.0,,,95.0,80.48,71.93,,75.51,60.33,0.0,,71.93,67.12,,,70.5535,100.0,100.0,,100.0,100.0,39.67,,100.0,100.0,,,96.9835,19.52,28.07,,24.49,39.67,39.67,,28.07,32.88,,,26.43
23.0,,9730,,,,,,,,,,9730,,2,,,,,,,,,,2,,2,,,,,,,,,,2,,100.0,,,,,,,,,,100.0,,67.12,,,,,,,,,,67.12,,100.0,,,,,,,,,,100.0,,32.88,,,,,,,,,,32.88
