data_type,category,reference_unit,total_number_of_stays,total_observations,total_distinct_observations,mean_icu_los_days,mean_icu_los_hours,whole_stay_mean,whole_stay_median,whole_stay_iqr,first_24hr_mean,first_24hr_median,first_24hr_iqr,first_48hr_mean,first_48hr_median,first_48hr_iqr,first_72hr_mean,first_72hr_median,first_72hr_iqr
labs,ferritin,ng/mL,5936,6693,6693,6.56,157.48,1.13,1.0,0.0,0.6,1.0,1.0,0.8,1.0,0.0,0.89,1.0,0.0
labs,ldh,U/L,4194,17521,17505,7.53,180.7,4.18,1.0,1.0,1.03,1.0,1.0,1.52,1.0,0.0,1.9,1.0,1.0
labs,pco2_venous,mmHg,4146,35344,35304,6.62,158.77,8.52,2.0,6.0,2.69,1.0,2.0,3.91,2.0,3.0,4.79,2.0,4.0
labs,neutrophils_absolute,10^3/µL,9256,47342,27757,6.49,155.79,5.11,2.0,2.0,1.58,2.0,2.0,2.35,2.0,2.0,2.87,2.0,3.0
labs,bilirubin_total,mg/dL,37513,179461,179367,4.38,105.15,4.78,2.0,4.0,1.71,1.0,1.0,2.46,2.0,2.0,2.96,2.0,3.0
labs,bilirubin_unconjugated,mg/dL,7568,21500,21467,7.41,177.82,2.84,1.0,1.0,0.83,1.0,1.0,1.26,1.0,0.0,1.56,1.0,1.0
labs,procalcitonin,ng/mL,9639,15171,15160,6.19,148.62,1.57,1.0,1.0,0.86,1.0,0.0,1.04,1.0,0.0,1.15,1.0,0.0
labs,chloride,mmol/L,52517,595956,594265,3.74,89.8,11.35,5.0,8.0,4.05,2.0,4.0,5.83,3.0,4.0,6.97,4.0,5.0
labs,creatinine,mg/dL,52347,387041,386766,3.76,90.31,7.39,4.0,6.0,2.54,2.0,2.0,3.8,3.0,2.0,4.6,3.0,3.0
labs,total_protein,g/dL,39603,199536,199043,4.35,104.33,5.04,2.0,4.0,1.93,1.0,1.0,2.69,2.0,2.0,3.19,2.0,3.0
labs,pco2_arterial,mmHg,52542,586047,584985,3.74,89.72,11.15,5.0,8.0,4.06,3.0,4.0,5.81,4.0,5.0,6.92,4.0,6.0
labs,bilirubin_conjugated,mg/dL,8766,24369,24333,7.21,173.07,2.78,1.0,1.0,0.84,1.0,1.0,1.26,1.0,0.0,1.56,1.0,1.0
labs,esr,mm/hour,1751,2097,2097,6.75,162.08,1.2,1.0,0.0,0.71,1.0,1.0,0.88,1.0,0.0,0.96,1.0,0.0
labs,bun,mg/dL,52369,388029,387861,3.76,90.35,7.41,4.0,6.0,2.53,2.0,2.0,3.8,3.0,2.0,4.6,3.0,3.0
labs,wbc,10^3/µL,51683,347396,347251,3.8,91.17,6.72,3.0,5.0,2.23,2.0,2.0,3.36,2.0,2.0,4.08,3.0,3.0
labs,inr,(no units),25538,98149,97913,4.76,114.18,3.84,1.0,2.0,1.65,1.0,1.0,2.18,1.0,1.0,2.52,1.0,2.0
labs,so2_arterial,%,25205,179580,179391,5.19,124.6,7.12,2.0,5.0,2.93,2.0,2.0,3.87,2.0,3.0,4.47,2.0,4.0
vitals,dbp,,53598,8445672,7409731,3.61,86.53,157.57,72.0,118.0,47.12,34.0,31.0,73.75,54.0,54.0,90.95,68.0,74.0
vitals,heart_rate,,53228,7643480,7643324,3.64,87.4,143.6,68.0,110.0,42.24,31.0,26.0,66.13,52.0,47.0,81.7,63.0,65.0
vitals,height_cm,,34987,287493,287479,4.68,112.28,8.22,2.0,4.0,2.4,1.0,2.0,3.36,2.0,3.0,4.03,2.0,3.0
vitals,map,,52873,7340335,6431944,3.66,87.86,138.83,63.0,105.0,41.31,29.0,28.0,64.74,49.0,49.0,79.91,58.0,66.0
vitals,respiratory_rate,,53213,7409812,7409662,3.64,87.48,139.25,66.0,107.0,40.92,30.0,25.0,64.03,51.0,46.0,79.1,61.0,64.0
vitals,sbp,,53598,8445672,7409731,3.61,86.53,157.57,72.0,118.0,47.12,34.0,31.0,73.75,54.0,54.0,90.95,68.0,74.0
vitals,spo2,,53184,7270703,7270567,3.65,87.51,136.71,65.0,105.0,40.48,30.0,25.0,63.39,51.0,45.0,78.27,60.0,64.0
vitals,temp_c,,53498,2433221,2433154,3.64,87.46,45.48,17.0,29.0,13.45,7.0,5.0,20.86,12.0,10.0,25.81,15.0,15.0
vitals,weight_kg,,45686,241488,241482,4.15,99.56,5.29,3.0,3.0,1.96,2.0,2.0,2.72,2.0,2.0,3.22,3.0,2.0
respiratory_support,fio2_set,,21423,1080995,1080982,5.68,136.34,50.46,14.0,43.0,9.33,7.0,11.0,15.46,10.0,18.0,20.13,12.0,25.0
respiratory_support,lpm_set,,35237,876269,876251,4.41,105.73,24.87,12.0,24.0,7.34,5.0,9.0,11.88,7.0,14.0,14.8,9.0,17.0
respiratory_support,tidal_volume_set,,9119,175875,175873,7.88,189.01,19.29,8.0,18.0,4.02,3.0,5.0,6.5,5.0,8.0,8.32,5.0,10.0
respiratory_support,resp_rate_set,,10751,272634,272631,7.31,175.33,25.36,10.0,24.0,5.24,5.0,5.0,8.42,7.0,9.0,10.73,8.0,13.0
respiratory_support,pressure_control_set,,1367,28566,28566,12.28,294.81,20.9,8.0,20.0,3.26,2.0,5.0,5.48,3.0,9.0,7.17,3.0,11.0
respiratory_support,pressure_support_set,,9496,69575,69575,8.56,205.46,7.33,3.0,6.0,1.2,1.0,2.0,1.93,1.0,2.0,2.52,2.0,2.0
respiratory_support,peep_set,,11795,393105,393102,7.02,168.49,33.33,13.0,33.0,5.92,5.0,4.0,9.69,9.0,9.0,12.6,10.0,14.0
respiratory_support,tidal_volume_obs,,11420,338216,338213,7.15,171.62,29.62,11.0,29.0,5.32,5.0,3.0,8.75,8.0,9.0,11.36,9.0,13.0
respiratory_support,peak_inspiratory_pressure_obs,,11690,368290,368287,7.05,169.29,31.5,12.0,31.0,5.51,5.0,4.0,9.08,8.0,9.0,11.84,10.0,13.0
