data_type,category,reference_unit,upenn__total_number_of_stays,upenn__total_observations,upenn__total_distinct_observations,upenn__mean_icu_los_days,upenn__mean_icu_los_hours,upenn__whole_stay_mean,upenn__whole_stay_median,upenn__whole_stay_iqr,upenn__first_24hr_mean,upenn__first_24hr_median,upenn__first_24hr_iqr,upenn__first_48hr_mean,upenn__first_48hr_median,upenn__first_48hr_iqr,upenn__first_72hr_mean,upenn__first_72hr_median,upenn__first_72hr_iqr,nu__total_number_of_stays,nu__total_observations,nu__total_distinct_observations,nu__mean_icu_los_days,nu__mean_icu_los_hours,nu__whole_stay_mean,nu__whole_stay_median,nu__whole_stay_iqr,nu__first_24hr_mean,nu__first_24hr_median,nu__first_24hr_iqr,nu__first_48hr_mean,nu__first_48hr_median,nu__first_48hr_iqr,nu__first_72hr_mean,nu__first_72hr_median,nu__first_72hr_iqr,jhu__total_number_of_stays,jhu__total_observations,jhu__total_distinct_observations,jhu__mean_icu_los_days,jhu__mean_icu_los_hours,jhu__whole_stay_mean,jhu__whole_stay_median,jhu__whole_stay_iqr,jhu__first_24hr_mean,jhu__first_24hr_median,jhu__first_24hr_iqr,jhu__first_48hr_mean,jhu__first_48hr_median,jhu__first_48hr_iqr,jhu__first_72hr_mean,jhu__first_72hr_median,jhu__first_72hr_iqr,rush__total_number_of_stays,rush__total_observations,rush__total_distinct_observations,rush__mean_icu_los_days,rush__mean_icu_los_hours,rush__whole_stay_mean,rush__whole_stay_median,rush__whole_stay_iqr,rush__first_24hr_mean,rush__first_24hr_median,rush__first_24hr_iqr,rush__first_48hr_mean,rush__first_48hr_median,rush__first_48hr_iqr,rush__first_72hr_mean,rush__first_72hr_median,rush__first_72hr_iqr,ohsu__total_number_of_stays,ohsu__total_observations,ohsu__total_distinct_observations,ohsu__mean_icu_los_days,ohsu__mean_icu_los_hours,ohsu__whole_stay_mean,ohsu__whole_stay_median,ohsu__whole_stay_iqr,ohsu__first_24hr_mean,ohsu__first_24hr_median,ohsu__first_24hr_iqr,ohsu__first_48hr_mean,ohsu__first_48hr_median,ohsu__first_48hr_iqr,ohsu__first_72hr_mean,ohsu__first_72hr_median,ohsu__first_72hr_iqr,ucmc__total_number_of_stays,ucmc__total_observations,ucmc__total_distinct_observations,ucmc__mean_icu_los_days,ucmc__mean_icu_los_hours,ucmc__whole_stay_mean,ucmc__whole_stay_median,ucmc__whole_stay_iqr,ucmc__first_24hr_mean,ucmc__first_24hr_median,ucmc__first_24hr_iqr,ucmc__first_48hr_mean,ucmc__first_48hr_median,ucmc__first_48hr_iqr,ucmc__first_72hr_mean,ucmc__first_72hr_median,ucmc__first_72hr_iqr,umn__total_number_of_stays,umn__total_observations,umn__total_distinct_observations,umn__mean_icu_los_days,umn__mean_icu_los_hours,umn__whole_stay_mean,umn__whole_stay_median,umn__whole_stay_iqr,umn__first_24hr_mean,umn__first_24hr_median,umn__first_24hr_iqr,umn__first_48hr_mean,umn__first_48hr_median,umn__first_48hr_iqr,umn__first_72hr_mean,umn__first_72hr_median,umn__first_72hr_iqr,emory__total_number_of_stays,emory__total_observations,emory__total_distinct_observations,emory__mean_icu_los_days,emory__mean_icu_los_hours,emory__whole_stay_mean,emory__whole_stay_median,emory__whole_stay_iqr,emory__first_24hr_mean,emory__first_24hr_median,emory__first_24hr_iqr,emory__first_48hr_mean,emory__first_48hr_median,emory__first_48hr_iqr,emory__first_72hr_mean,emory__first_72hr_median,emory__first_72hr_iqr,umich__total_number_of_stays,umich__total_observations,umich__total_distinct_observations,umich__mean_icu_los_days,umich__mean_icu_los_hours,umich__whole_stay_mean,umich__whole_stay_median,umich__whole_stay_iqr,umich__first_24hr_mean,umich__first_24hr_median,umich__first_24hr_iqr,umich__first_48hr_mean,umich__first_48hr_median,umich__first_48hr_iqr,umich__first_72hr_mean,umich__first_72hr_median,umich__first_72hr_iqr,mimic_iv__total_number_of_stays,mimic_iv__total_observations,mimic_iv__total_distinct_observations,mimic_iv__mean_icu_los_days,mimic_iv__mean_icu_los_hours,mimic_iv__whole_stay_mean,mimic_iv__whole_stay_median,mimic_iv__whole_stay_iqr,mimic_iv__first_24hr_mean,mimic_iv__first_24hr_median,mimic_iv__first_24hr_iqr,mimic_iv__first_48hr_mean,mimic_iv__first_48hr_median,mimic_iv__first_48hr_iqr,mimic_iv__first_72hr_mean,mimic_iv__first_72hr_median,mimic_iv__first_72hr_iqr
labs,glucose_serum,mg/dL,,,,,,,,,,,,,,,,,,102057,776122,769296,3.03,72.75,7.6,3.0,5.0,2.73,2.0,2.0,4.04,3.0,3.0,4.86,3.0,3.0,111990,943939,938118,3.46,83.07,8.43,4.0,7.0,3.0,2.0,2.0,4.42,3.0,3.0,5.32,4.0,4.0,52950,402560,400892,3.25,77.99,7.6,4.0,6.0,2.96,2.0,3.0,4.3,3.0,3.0,5.13,4.0,4.0,56361,436932,431889,2.8,67.23,7.75,4.0,6.0,3.17,2.0,3.0,4.51,3.0,3.0,5.34,4.0,4.0,40168,436391,435325,3.72,89.31,10.86,5.0,9.0,3.5,3.0,2.0,5.25,4.0,5.0,6.39,4.0,6.0,,,,,,,,,,,,,,,,,,861,1991,1989,5.83,139.94,2.31,1.0,1.0,1.71,1.0,2.0,1.94,1.0,1.0,2.04,1.0,1.0,49409,1137363,1135616,4.31,103.51,23.02,9.0,18.0,6.91,5.0,7.0,10.19,7.0,10.0,12.46,8.0,12.0,81146,745799,745683,3.2,76.82,9.19,4.0,8.0,3.7,2.0,4.0,5.09,3.0,5.0,5.95,4.0,6.0
labs,crp,mg/L,,,,,,,,,,,,,,,,,,9414,27905,27764,5.48,131.62,2.96,1.0,1.0,0.91,1.0,0.0,1.27,1.0,0.0,1.53,1.0,1.0,815,1593,1593,6.94,166.52,1.95,1.0,1.0,0.73,1.0,1.0,1.04,1.0,0.0,1.27,1.0,1.0,4060,9145,9137,6.1,146.38,2.25,1.0,1.0,0.85,1.0,1.0,1.13,1.0,0.0,1.32,1.0,0.0,3137,4977,4975,5.43,130.26,1.59,1.0,0.0,0.71,1.0,1.0,0.93,1.0,0.0,1.09,1.0,0.0,5107,13368,13362,7.26,174.24,2.62,1.0,1.0,0.78,1.0,1.0,1.08,1.0,0.0,1.32,1.0,0.0,,,,,,,,,,,,,,,,,,3006,4186,4185,7.56,181.54,1.39,1.0,0.0,0.68,1.0,1.0,0.88,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,3661,6115,6110,6.65,159.49,1.67,1.0,0.0,0.74,1.0,1.0,1.0,1.0,0.0,1.15,1.0,0.0
labs,ferritin,ng/mL,,,,,,,,,,,,,,,,,,10892,22632,22477,5.72,137.25,2.08,1.0,0.0,0.73,1.0,1.0,1.01,1.0,0.0,1.19,1.0,0.0,15013,20583,20566,5.81,139.46,1.37,1.0,0.0,0.77,1.0,1.0,0.93,1.0,0.0,1.02,1.0,0.0,7891,12213,12209,5.26,126.27,1.55,1.0,0.0,0.75,1.0,1.0,0.97,1.0,0.0,1.09,1.0,0.0,3283,4384,4380,5.83,140.02,1.34,1.0,0.0,0.63,1.0,1.0,0.84,1.0,0.0,0.97,1.0,0.0,5722,9175,9173,6.54,156.87,1.6,1.0,0.0,0.72,1.0,1.0,0.93,1.0,0.0,1.06,1.0,0.0,,,,,,,,,,,,,,,,,,5936,6693,6693,6.56,157.48,1.13,1.0,0.0,0.6,1.0,1.0,0.8,1.0,0.0,0.89,1.0,0.0,5670,8577,8573,8.71,208.92,1.51,1.0,0.0,0.64,1.0,1.0,0.85,1.0,1.0,0.99,1.0,0.0,7163,9577,9572,6.34,152.07,1.34,1.0,0.0,0.69,1.0,1.0,0.87,1.0,0.0,0.98,1.0,0.0
labs,bicarbonate,mmol/L,,,,,,,,,,,,,,,,,,102012,773486,766724,3.03,72.78,7.58,3.0,5.0,2.72,2.0,2.0,4.03,3.0,3.0,4.85,3.0,3.0,100436,872557,866991,3.47,83.23,8.69,4.0,7.0,3.08,2.0,2.0,4.54,3.0,3.0,5.47,4.0,5.0,52849,398949,389383,3.26,78.17,7.55,4.0,6.0,2.73,2.0,2.0,4.05,3.0,3.0,4.87,4.0,4.0,56249,433251,428475,2.81,67.46,7.7,4.0,6.0,3.02,2.0,3.0,4.38,3.0,3.0,5.23,3.0,4.0,40090,420691,419797,3.73,89.45,10.49,5.0,9.0,3.32,2.0,2.0,5.01,4.0,4.0,6.13,4.0,6.0,,,,,,,,,,,,,,,,,,25728,233741,231447,5.16,123.76,9.09,3.0,6.0,3.57,2.0,3.0,4.77,2.0,4.0,5.56,2.0,5.0,49319,606931,606012,4.33,103.95,12.31,5.0,10.0,3.31,3.0,2.0,5.14,4.0,4.0,6.45,5.0,5.0,,,,,,,,,,,,,,,,,
labs,monocytes_absolute,10^3/µL,,,,,,,,,,,,,,,,,,58987,244332,242240,3.66,87.93,4.14,2.0,3.0,1.39,1.0,1.0,2.09,2.0,1.0,2.55,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19723,68216,68060,3.9,93.5,3.46,1.0,2.0,1.47,1.0,1.0,2.0,1.0,1.0,2.33,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9256,27776,27751,6.49,155.79,3.0,1.0,2.0,0.92,1.0,1.0,1.36,1.0,1.0,1.66,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labs,bun,mg/dL,,,,,,,,,,,,,,,,,,102019,773538,766792,3.03,72.77,7.58,3.0,5.0,2.71,2.0,2.0,4.02,3.0,3.0,4.84,3.0,3.0,111988,943462,937697,3.46,83.08,8.42,4.0,7.0,3.0,2.0,2.0,4.42,3.0,3.0,5.32,4.0,4.0,52844,375583,374049,3.26,78.19,7.11,4.0,6.0,2.64,2.0,2.0,3.93,3.0,3.0,4.73,3.0,4.0,56259,419298,415038,2.81,67.45,7.45,4.0,6.0,2.96,2.0,2.0,4.28,3.0,3.0,5.09,3.0,4.0,40104,422025,420989,3.73,89.42,10.52,5.0,9.0,3.34,2.0,2.0,5.04,4.0,4.0,6.15,4.0,6.0,,,,,,,,,,,,,,,,,,52369,388029,387861,3.76,90.35,7.41,4.0,6.0,2.53,2.0,2.0,3.8,3.0,2.0,4.6,3.0,3.0,49331,634697,633729,4.33,103.92,12.87,5.0,10.0,3.36,3.0,2.0,5.24,4.0,5.0,6.6,5.0,6.0,81013,564469,564435,3.23,77.62,6.97,3.0,5.0,2.5,2.0,2.0,3.67,3.0,3.0,4.38,3.0,4.0
labs,inr,(no units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33413,99605,99547,3.18,76.44,2.98,1.0,2.0,1.7,1.0,1.0,2.08,1.0,1.0,2.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25538,98149,97913,4.76,114.18,3.84,1.0,2.0,1.65,1.0,1.0,2.18,1.0,1.0,2.52,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labs,pco2_arterial,mmHg,,,,,,,,,,,,,,,,,,41708,446558,431378,4.31,103.55,10.71,4.0,7.0,4.61,3.0,5.0,6.01,3.0,6.0,6.93,3.0,7.0,,,,,,,,,,,,,,,,,,19191,156282,156072,5.24,125.86,8.14,3.0,7.0,3.34,2.0,4.0,4.46,2.0,5.0,5.17,2.0,6.0,21162,143019,142037,4.19,100.49,6.76,2.0,5.0,2.94,2.0,2.0,3.86,2.0,3.0,4.44,2.0,4.0,20037,586569,298027,5.07,121.64,29.27,12.0,24.0,9.53,8.0,8.0,13.7,10.0,14.0,16.55,10.0,18.0,,,,,,,,,,,,,,,,,,52542,586047,584985,3.74,89.72,11.15,5.0,8.0,4.06,3.0,4.0,5.81,4.0,5.0,6.92,4.0,6.0,5599,23655,23370,8.48,203.48,4.22,2.0,5.0,2.0,1.0,3.0,2.72,1.0,2.0,3.08,2.0,3.0,12356,26617,26571,7.09,170.1,2.15,1.0,1.0,0.9,1.0,1.0,1.2,1.0,0.0,1.39,1.0,1.0
labs,bilirubin_unconjugated,mg/dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,119,119,6.92,166.16,1.2,1.0,0.0,0.4,0.0,1.0,0.58,1.0,1.0,0.71,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17508,74823,74720,5.16,123.75,4.27,2.0,3.0,1.4,1.0,1.0,2.06,1.0,1.0,2.51,2.0,2.0,,,,,,,,,,,,,,,,,,7568,21500,21467,7.41,177.82,2.84,1.0,1.0,0.83,1.0,1.0,1.26,1.0,0.0,1.56,1.0,1.0,2390,4250,4247,10.1,242.47,1.78,1.0,1.0,0.51,0.0,1.0,0.74,1.0,1.0,0.91,1.0,1.0,5390,11491,11491,7.18,172.29,2.13,1.0,1.0,0.89,1.0,1.0,1.23,1.0,1.0,1.44,1.0,1.0
labs,po2_arterial,mmHg,,,,,,,,,,,,,,,,,,42326,453978,436038,4.34,104.08,10.73,4.0,7.0,4.6,3.0,5.0,6.01,3.0,6.0,6.93,3.0,7.0,,,,,,,,,,,,,,,,,,19218,165347,164776,5.25,126.02,8.6,3.0,7.0,3.39,2.0,4.0,4.54,2.0,5.0,5.27,2.0,6.0,21092,142618,141641,4.19,100.61,6.76,2.0,5.0,2.94,2.0,2.0,3.86,2.0,3.0,4.44,2.0,4.0,20133,587223,298635,5.06,121.49,29.17,12.0,24.0,9.51,8.0,8.0,13.66,10.0,14.0,16.5,10.0,18.0,,,,,,,,,,,,,,,,,,25851,242551,239723,5.15,123.53,9.38,3.0,6.0,3.71,2.0,3.0,4.96,2.0,4.0,5.79,2.0,5.0,5600,23663,23376,8.48,203.44,4.23,2.0,5.0,2.0,1.0,3.0,2.72,1.0,2.0,3.08,2.0,3.0,12254,26273,26226,7.1,170.43,2.14,1.0,1.0,0.9,1.0,1.0,1.19,1.0,0.0,1.39,1.0,1.0
