Variable,Overall__Emory,Overall__JHU,Overall__MIMIC,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
"  Pre-device LOS (days), median [Q1, Q3]","0.6 [0.1, 1.5]","0.8 [0.3, 1.7]","1.0 [0.5, 2.0]","0.2 [0.0, 1.0]","0.7 [0.4, 1.5]","0.8 [0.5, 1.5]","-18.4 [-965.1, 935.2]","0.6 [0.1, 1.5]","0.0 [-0.0, 1.6]","0.5 [0.1, 1.2]","0.7 [0.3, 1.7]","-1.1 [-965.1, 935.2]"
"  Post-device LOS (days), median [Q1, Q3]","2.6 [0.9, 5.0]","3.5 [1.6, 6.6]","2.6 [1.6, 5.6]","4.9 [2.5, 8.7]","3.0 [1.3, 5.8]","1.9 [0.9, 3.8]","21.3 [-929.3, 967.5]","3.7 [2.2, 6.1]","3.7 [2.2, 6.7]","2.5 [0.7, 4.6]","3.5 [1.6, 6.0]","4.6 [-929.3, 967.5]"
"28-day VFD (IMV encounters), n (%)","1,780 (14.5%)","1,551 (10.4%)",<10,303 (31.5%),902 (16.6%),57 (1.3%),"1,038 (10.0%)",190 (3.3%),<10,"2,290 (5.4%)",235 (1.2%),"8,346 (7.2%)"
"  VFD, median [Q1, Q3]","26 [5, 27]","19 [0, 26]","26 [26, 27]","16 [0, 25]","27 [27, 27]","0 [0, 26]","25 [16, 26]","26 [25, 27]","12 [6, 18]","26 [0, 27]","26 [0, 27]","24.0 [0, 27]"
"Charlson Comorbidity Index, median [Q1, Q3]","3 [1, 4]","3 [1, 4]","1 [0, 2]","3 [1, 5]","2 [0, 4]","3 [2, 4]","2 [0, 6]","3 [2, 4]","1 [0, 2]","2 [1, 4]","3 [1, 4]","2.5 [0, 6]"
"Comorbidities, n (%)",,,,,,,,,,,,
  Congestive Heart Failure,"5,847 (47.8%)","6,829 (45.7%)",13 (19.4%),432 (44.9%),"1,847 (34.0%)","2,091 (49.1%)","1,287 (12.4%)","3,329 (57.7%)",<10,"17,579 (41.4%)","9,728 (51.0%)","48,982 (42.4%)"
  Renal Disease,"4,542 (37.1%)","5,238 (35.1%)",10 (14.9%),325 (33.8%),"1,300 (24.0%)","1,621 (38.0%)","1,060 (10.2%)","2,162 (37.5%)",,"14,908 (35.1%)","6,688 (35.1%)","37,854 (32.8%)"
  Chronic Pulmonary Disease,"5,188 (42.4%)","6,551 (43.9%)",17 (25.4%),467 (48.5%),"1,684 (31.0%)","1,908 (44.8%)","1,378 (13.3%)","3,318 (57.6%)",<10,"18,703 (44.0%)","9,630 (50.5%)","48,844 (42.3%)"
  Diabetes With Complications,"3,407 (27.8%)","4,188 (28.1%)",11 (16.4%),218 (22.7%),"1,162 (21.4%)","1,462 (34.3%)",,"1,602 (27.8%)",,"9,704 (22.9%)","4,856 (25.4%)","26,610 (25.3%)"
  Peripheral Vascular Disease,"1,447 (11.8%)","1,440 (9.6%)",<10,159 (16.5%),349 (6.4%),625 (14.7%),"1,163 (11.2%)",258 (4.5%),,"4,478 (10.5%)","2,678 (14.0%)","12,597 (10.9%)"
  Cerebrovascular Disease,"1,053 (8.6%)","1,182 (7.9%)",41 (61.2%),172 (17.9%),282 (5.2%),528 (12.4%),"2,059 (19.8%)",158 (2.7%),,"3,127 (7.4%)","1,328 (7.0%)","9,930 (8.6%)"
  Myocardial Infarction,"1,316 (10.8%)","2,142 (14.3%)",<10,122 (12.7%),525 (9.7%),597 (14.0%),840 (8.1%),433 (7.5%),,"5,772 (13.6%)","1,943 (10.2%)","13,690 (11.9%)"
  Diabetes Uncomplicated,"2,046 (16.7%)","2,830 (19.0%)",11 (16.4%),175 (18.2%),"1,025 (18.9%)",677 (15.9%),"2,216 (21.4%)",968 (16.8%),<10,"7,758 (18.3%)","4,002 (21.0%)","21,708 (18.8%)"
  Cancer,900 (7.4%),"1,223 (8.2%)",<10,122 (12.7%),705 (13.0%),368 (8.6%),191 (1.8%),370 (6.4%),,"3,136 (7.4%)","1,953 (10.2%)","8,968 (7.8%)"
  Mild Liver Disease,635 (5.2%),854 (5.7%),<10,79 (8.2%),365 (6.7%),296 (6.9%),261 (2.5%),254 (4.4%),,"2,247 (5.3%)","1,066 (5.6%)","6,057 (5.2%)"
  Dementia,538 (4.4%),183 (1.2%),<10,85 (8.8%),178 (3.3%),86 (2.0%),816 (7.9%),220 (3.8%),<10,"2,789 (6.6%)",917 (4.8%),"5,812 (5.0%)"
  Metastatic Solid Tumor,427 (3.5%),695 (4.7%),<10,94 (9.8%),268 (4.9%),121 (2.8%),"3,335 (32.1%)",241 (4.2%),,"1,505 (3.5%)",974 (5.1%),"7,660 (6.6%)"
  Hemiplegia,250 (2.0%),391 (2.6%),13 (19.4%),33 (3.4%),106 (2.0%),67 (1.6%),,61 (1.1%),,930 (2.2%),368 (1.9%),"2,219 (2.1%)"
  Moderate Severe Liver Disease,143 (1.2%),162 (1.1%),,20 (2.1%),99 (1.8%),69 (1.6%),18 (0.2%),81 (1.4%),,648 (1.5%),225 (1.2%),"1,465 (1.3%)"
  Connective Tissue Disease,491 (4.0%),674 (4.5%),<10,49 (5.1%),173 (3.2%),228 (5.4%),85 (0.8%),220 (3.8%),,"2,095 (4.9%)",845 (4.4%),"4,860 (4.2%)"
  Peptic Ulcer Disease,128 (1.0%),101 (0.7%),,21 (2.2%),43 (0.8%),17 (0.4%),135 (1.3%),87 (1.5%),,336 (0.8%),102 (0.5%),970 (0.8%)
  Aids,104 (0.8%),,,<10,21 (0.4%),17 (0.4%),841 (8.1%),38 (0.7%),,69 (0.2%),83 (0.4%),"1,173 (1.3%)"
SOFA Scores,,,,,,,,,,,,
"  Total SOFA score, median [Q1, Q3]",,,,,,,,,,,,
"    Respiratory, median [Q1, Q3]",,,,,,,,,,,,
"    Coagulation, median [Q1, Q3]",,,,,,,,,,,,
"    Liver, median [Q1, Q3]",,,,,,,,,,,,
"    Cardiovascular, median [Q1, Q3]",,,,,,,,,,,,
"    CNS, median [Q1, Q3]",,,,,,,,,,,,
"    Renal, median [Q1, Q3]",,,,,,,,,,,,
"  P/F ratio, median [Q1, Q3]",,,,,,,,,,,,
"  P/F ratio (imputed), median [Q1, Q3]",,,,,,,,,,,,
"CRRT, n (%)",302 (2.5%),132 (0.9%),0 (0.0%),33 (3.4%),<10,256 (6.0%),0 (0.0%),<10,0 (0.0%),<10,<10,723 (1.7%)
"Sepsis events (CDC ASE), n",868,"1,851,619",0,562,679,166,48,768,0,"1,273","2,598","1,858,581"
"Encounters with >=1 sepsis event, n (%)",513 (4.2%),"2,328 (15.6%)",0 (0.0%),294 (30.6%),335 (6.2%),81 (1.9%),36 (0.3%),463 (8.0%),0 (0.0%),753 (1.8%),"1,564 (8.2%)","6,367 (5.4%)"
"Invasive mechanical ventilation, n (%)","1,780 (14.5%)","1,551 (10.4%)",<10,303 (31.5%),902 (16.6%),57 (1.3%),"1,038 (10.0%)",190 (3.3%),<10,"2,290 (5.4%)",235 (1.2%),"8,346 (7.2%)"
Ventilator hours (millions),0.10,0.12,,0.03,,,0.12,,,0.03,,0
  First location at IMV start: icu,,,,,,,,,,,,
  First location at IMV start: ed,575 (32.3%),931 (60.0%),,132 (43.6%),346 (38.4%),24 (42.1%),345 (33.2%),135 (71.1%),<10,"1,790 (78.2%)",149 (63.4%),"4,427 (53.0%)"
  First location at IMV start: procedural,,,,,,,,,,,,
  First location at IMV start: ward,"1,173 (65.9%)",382 (24.6%),<10,48 (15.8%),514 (57.0%),<10,478 (46.1%),55 (28.9%),,374 (16.3%),83 (35.3%),"3,107 (37.5%)"
  First location at IMV start: stepdown,,238 (15.3%),<10,114 (37.6%),<10,,,,,122 (5.3%),<10,474 (11.4%)
  First location at IMV start: hospice,<10,,,,<10,24 (42.1%),,,,,,
  First location at IMV start: radiology,,,,,,,,,,,,
  First location at IMV start: l&d,,,,,,,,,,,,
  First location at IMV start: dialysis,,,,,<10,,,,,<10,<10,
  First location at IMV start: rehab,11 (0.6%),,,,,,,,,,,11 (0.6%)
  Initial ventilator mode: pressure-regulated volume control,295 (16.6%),560 (36.1%),,<10,<10,16 (28.1%),,,,20 (0.9%),,891 (15.9%)
  Initial ventilator mode: assist control-volume control,353 (19.8%),662 (42.7%),<10,258 (85.1%),214 (23.7%),25 (43.9%),830 (80.0%),111 (58.4%),<10,"1,459 (63.7%)",127 (54.0%),"4,039 (48.4%)"
  Initial ventilator mode: simv,<10,48 (3.1%),,<10,64 (7.1%),<10,,16 (8.4%),,62 (2.7%),<10,190 (3.8%)
  Initial ventilator mode: pressure support/cpap,474 (26.6%),69 (4.4%),,<10,25 (2.8%),<10,103 (9.9%),18 (9.5%),,34 (1.5%),28 (11.9%),751 (9.4%)
  Initial ventilator mode: Missing,623 (35.0%),,<10,14 (4.6%),26 (2.9%),<10,,40 (21.1%),,452 (19.7%),75 (31.9%),"1,230 (21.6%)"
  Initial ventilator mode: standby,,,,,<10,,,,,,,
  Initial ventilator mode: pressure control,10 (0.6%),31 (2.0%),,<10,463 (51.3%),<10,105 (10.1%),<10,,10 (0.4%),<10,619 (8.1%)
  Initial ventilator mode: other,<10,<10,,11 (3.6%),101 (11.2%),<10,,,,36 (1.6%),,148 (4.3%)
  Initial ventilator mode: aprv,,,,,,,,,,,,
  Initial ventilator mode: blow by,12 (0.7%),171 (11.0%),,,,,,<10,,217 (9.5%),,400 (7.2%)
  Initial ventilator mode: ,,,,,,,,,,,,
"  FiO2 (%), median [Q1, Q3]","0.3 [0.2, 0.3]","0.3 [0.3, 0.4]","0.4 [0.4, 0.4]","0.4 [0.3, 0.4]","0.4 [0.2, 0.6]","0.4 [0.4, 0.4]","0.3 [0.2, 0.3]","0.3 [0.2, 0.4]","0.6 [0.6, 0.6]","0.4 [0.3, 0.5]","0.2 [0.2, 0.3]","0.3 [0.2, 0.6]"
"  PEEP (cmH2O), median [Q1, Q3]","6.0 [6.0, 6.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","8.0 [8.0, 8.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 6.5]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.2 [5, 8]"
"  Respiratory rate (breaths/min), median [Q1, Q3]","18.0 [16.0, 18.0]","18.0 [16.0, 18.0]","20.0 [20.0, 20.0]","18.0 [16.0, 20.0]","14.0 [14.0, 15.0]","16.0 [16.0, 16.0]","12.0 [0.0, 18.0]","16.0 [16.0, 16.0]","22.0 [19.0, 22.0]","16.0 [16.0, 16.0]","18.0 [16.2, 18.0]","16.4 [0, 22]"
