hour_bin,upenn__median,upenn__q25,upenn__q75,upenn__mean,upenn__std,upenn__count,nu__median,nu__q25,nu__q75,nu__mean,nu__std,nu__count,jhu__median,jhu__q25,jhu__q75,jhu__mean,jhu__std,jhu__count,rush__median,rush__q25,rush__q75,rush__count,ohsu__median,ohsu__q25,ohsu__q75,ohsu__mean,ohsu__std,ohsu__count,ucmc__median,ucmc__q25,ucmc__q75,ucmc__mean,ucmc__std,ucmc__count,umn__median,umn__q25,umn__q75,umn__mean,umn__std,umn__count,emory__median,emory__q25,emory__q75,emory__mean,emory__std,emory__count,umich__median,umich__q25,umich__q75,umich__mean,umich__std,umich__count,mimic_iv__median,mimic_iv__q25,mimic_iv__q75,mimic_iv__mean,mimic_iv__std,mimic_iv__count
80,18.0,15.0,20.0,18.129032258064516,4.660056762772108,31,16.0,14.0,20.0,16.788659793814432,5.44702944739227,194,5.0,0.0,10.5,6.314516129032258,8.305514805641465,124,22.0,20.0,26.0,443,10.0,10.0,13.75,12.428571428571429,5.75153365397633,42,15.0,12.0,20.0,16.637254901960784,5.276116963412523,102,25.0,23.0,25.25,24.50925925925926,4.755680968904855,72,17.0,12.0,20.0,17.114942528735632,5.918880486847903,87,13.0,10.0,17.0,13.663194444444445,5.928825779682067,288,15.0,10.0,20.0,16.565217391304348,6.880975663883468,23
81,15.0,14.0,18.0,16.404,3.4684867017187773,25,16.0,13.5,20.0,17.2,5.556398403497611,175,5.0,0.0,10.0,4.333333333333333,6.272713828600043,99,22.0,20.0,26.0,399,10.0,10.0,15.0,12.625,5.190396650671733,24,18.0,13.0,20.0,17.4025974025974,6.199023140912777,77,25.0,25.0,27.0,25.96,5.848285986474313,50,15.0,12.25,20.0,16.267441860465116,4.810342824042308,86,13.0,10.0,17.0,13.394039735099337,5.670378025192148,302,15.0,12.0,16.0,15.823529411764707,6.635466205528131,17
82,15.5,14.25,20.0,17.63888888888889,6.048153332229495,36,16.0,12.0,20.0,16.87378640776699,5.611277167173152,206,7.0,0.0,11.0,7.133333333333334,7.778257005993185,105,22.0,19.0,25.0,425,10.0,10.0,14.0,11.423076923076923,4.500427330137235,26,16.0,15.0,20.0,17.208333333333332,5.509640673481093,96,25.0,25.0,30.0,26.308823529411764,5.160866966798344,68,14.0,12.0,20.0,15.180722891566266,5.034380767776451,83,14.0,10.0,18.0,13.96309963099631,5.973283418786356,271,15.0,10.75,21.5,16.666666666666668,6.0972510681646765,18
83,15.0,12.0,20.0,16.03125,4.291660141972281,32,16.0,14.0,20.0,17.103448275862068,5.555671255576067,203,5.0,0.0,12.0,5.769230769230769,6.849848494907242,117,22.0,20.0,25.0,387,13.0,10.0,15.0,13.81081081081081,5.476403107057679,37,15.0,12.0,20.0,16.469135802469136,5.7491008422036876,81,25.0,25.0,25.0,23.930232558139537,4.182704461385682,43,15.0,12.0,20.0,16.037037037037038,5.259383149297177,81,13.0,10.0,17.0,13.444839857651246,5.7803222283492595,281,15.0,11.0,16.0,13.727272727272727,3.9010488100229943,11
84,18.0,14.0,22.0,19.13783783783784,7.591126082156402,37,16.0,14.0,20.0,17.16042780748663,5.459128276238512,187,5.0,0.0,10.0,6.0,6.7624767975184055,120,22.0,18.0,26.0,452,13.0,10.0,15.0,14.236842105263158,7.919985703393853,38,17.0,12.0,20.0,16.87378640776699,5.47844190611135,103,25.0,23.0,27.0,24.891774891774894,4.870979091043675,77,16.0,12.0,20.0,16.831683168316832,6.026722669794411,101,14.0,10.0,18.0,14.219672131147542,6.017048686203925,305,15.0,10.0,16.0,14.692307692307692,4.871423737550371,13
85,15.5,15.0,19.5,16.90909090909091,4.566014109536331,22,18.0,14.0,20.0,17.94857142857143,5.740828338874135,175,5.0,0.0,13.0,7.02970297029703,7.471887908078593,101,22.0,20.0,25.0,385,10.0,10.0,15.0,11.65625,5.545177358343362,32,16.0,15.0,20.0,17.584269662921347,5.416324208026654,89,25.0,25.0,27.0,25.22222222222222,6.557918062020605,54,15.0,12.0,20.0,15.702127659574469,4.669345898871998,94,14.0,10.0,18.0,13.768953068592058,5.770744870788475,277,16.0,12.75,28.75,20.38888888888889,8.61693878282352,18
86,18.0,15.0,22.0,18.5,6.206136401357777,32,16.0,14.0,20.0,16.969849246231156,5.574028472433736,199,5.0,0.0,10.0,5.777777777777778,7.563232920639033,108,22.0,20.0,26.0,383,12.0,10.0,15.0,13.128205128205128,4.995679644924186,39,15.0,12.0,20.0,16.13978494623656,5.0639205421883355,93,25.0,24.0,26.0,25.245283018867923,4.136635851553765,53,15.0,12.0,20.0,16.150537634408604,5.177178677197983,93,13.0,10.0,18.0,13.789667896678967,6.4998607022426365,271,15.0,15.0,16.75,16.071428571428573,3.099982275738058,14
87,20.0,15.0,20.0,18.10810810810811,4.128382678912354,37,15.5,12.0,20.0,17.0,5.682640025623539,172,7.0,0.0,11.0,6.9496402877697845,6.8507100457207395,139,22.0,18.0,25.0,376,10.0,10.0,15.0,12.535714285714286,6.082653799837472,28,18.0,15.0,20.0,17.345238095238095,5.028818270293698,84,25.0,25.0,25.0,25.49019607843137,3.9717630796391057,51,14.0,10.0,18.0,15.4375,5.983774357005414,64,13.0,10.0,16.0,13.33695652173913,6.012007089900332,276,15.0,12.0,18.0,15.941176470588236,6.475633060127153,17
88,16.0,14.75,20.0,17.2525,4.397142866068305,40,16.0,14.0,20.0,17.216814159292035,5.573897940378365,226,5.0,0.0,10.0,5.298245614035087,5.909239539834198,114,22.0,20.0,25.0,401,12.0,10.0,15.0,14.11111111111111,6.6480924043282865,63,18.0,14.0,20.0,17.226190476190474,5.781881109820659,84,25.0,22.0,25.0,24.35135135135135,5.302964878725687,74,15.0,12.0,20.0,16.41304347826087,5.351701329387506,92,13.0,10.0,17.0,13.786624203821656,5.542949878893321,314,15.0,10.0,20.0,16.944444444444443,8.040136245715816,18
89,15.0,14.0,22.0,17.517241379310345,5.20727986061802,29,16.0,13.0,20.0,17.5531914893617,5.976096809409566,188,5.0,0.0,10.0,5.019607843137255,6.96096669080042,102,22.0,20.0,26.0,368,10.0,9.5,15.0,13.65625,8.604610073450687,32,15.0,13.0,20.0,16.901408450704224,5.545023327472415,71,25.0,25.0,28.0,26.366666666666667,7.001129852319519,60,16.0,12.0,20.0,16.99019607843137,5.69261306655643,102,14.0,10.0,18.0,14.107023411371237,6.512913154225505,299,15.0,12.0,17.0,16.0,5.5677643628300215,13
