sofa_score,total_encounters__Emory,total_encounters__JHU,total_encounters__MIMIC,total_encounters__Michigan,total_encounters__NU,total_encounters__OHSU,total_encounters__RUSH,total_encounters__Sunnybrook,total_encounters__UCMC,total_encounters__UCSF,total_encounters__UMN,total_encounters__UPenn,total_encounters__ALL,n_encounters__Emory,n_encounters__JHU,n_encounters__MIMIC,n_encounters__Michigan,n_encounters__NU,n_encounters__OHSU,n_encounters__RUSH,n_encounters__Sunnybrook,n_encounters__UCMC,n_encounters__UCSF,n_encounters__UMN,n_encounters__UPenn,n_encounters__ALL,n_deaths__Emory,n_deaths__JHU,n_deaths__MIMIC,n_deaths__Michigan,n_deaths__NU,n_deaths__OHSU,n_deaths__RUSH,n_deaths__Sunnybrook,n_deaths__UCMC,n_deaths__UCSF,n_deaths__UMN,n_deaths__UPenn,n_deaths__ALL,mortality_rate_percent__Emory,mortality_rate_percent__JHU,mortality_rate_percent__MIMIC,mortality_rate_percent__Michigan,mortality_rate_percent__NU,mortality_rate_percent__OHSU,mortality_rate_percent__RUSH,mortality_rate_percent__Sunnybrook,mortality_rate_percent__UCMC,mortality_rate_percent__UCSF,mortality_rate_percent__UMN,mortality_rate_percent__UPenn,mortality_rate_percent__ALL,ci_lower_95__Emory,ci_lower_95__JHU,ci_lower_95__MIMIC,ci_lower_95__Michigan,ci_lower_95__NU,ci_lower_95__OHSU,ci_lower_95__RUSH,ci_lower_95__Sunnybrook,ci_lower_95__UCMC,ci_lower_95__UCSF,ci_lower_95__UMN,ci_lower_95__UPenn,ci_lower_95__ALL,ci_upper_95__Emory,ci_upper_95__JHU,ci_upper_95__MIMIC,ci_upper_95__Michigan,ci_upper_95__NU,ci_upper_95__OHSU,ci_upper_95__RUSH,ci_upper_95__Sunnybrook,ci_upper_95__UCMC,ci_upper_95__UCSF,ci_upper_95__UMN,ci_upper_95__UPenn,ci_upper_95__ALL,ci_margin_95__Emory,ci_margin_95__JHU,ci_margin_95__MIMIC,ci_margin_95__Michigan,ci_margin_95__NU,ci_margin_95__OHSU,ci_margin_95__RUSH,ci_margin_95__Sunnybrook,ci_margin_95__UCMC,ci_margin_95__UCSF,ci_margin_95__UMN,ci_margin_95__UPenn,ci_margin_95__ALL
8,,,,5917.0,,,,,,,,,5917,,,,524.0,,,,,,,,,524.0,,,,82.0,,,,,,,,,82.0,,,,15.65,,,,,,,,,15.65,,,,12.54,,,,,,,,,12.54,,,,18.76,,,,,,,,,18.76,,,,3.11,,,,,,,,,3.11
9,,,,5917.0,,,,,,,,,5917,,,,652.0,,,,,,,,,652.0,,,,101.0,,,,,,,,,101.0,,,,15.49,,,,,,,,,15.49,,,,12.71,,,,,,,,,12.71,,,,18.27,,,,,,,,,18.27,,,,2.78,,,,,,,,,2.78
10,,,,5917.0,,,,,,,,,5917,,,,739.0,,,,,,,,,739.0,,,,97.0,,,,,,,,,97.0,,,,13.13,,,,,,,,,13.13,,,,10.69,,,,,,,,,10.69,,,,15.56,,,,,,,,,15.56,,,,2.44,,,,,,,,,2.44
11,,,,5917.0,,,,,,,,,5917,,,,661.0,,,,,,,,,661.0,,,,108.0,,,,,,,,,108.0,,,,16.34,,,,,,,,,16.34,,,,13.52,,,,,,,,,13.52,,,,19.16,,,,,,,,,19.16,,,,2.82,,,,,,,,,2.82
12,,,,5917.0,,,,,,,,,5917,,,,522.0,,,,,,,,,522.0,,,,119.0,,,,,,,,,119.0,,,,22.8,,,,,,,,,22.8,,,,19.21,,,,,,,,,19.21,,,,26.39,,,,,,,,,26.39,,,,3.59,,,,,,,,,3.59
13,,,,5917.0,,,,,,,,,5917,,,,333.0,,,,,,,,,333.0,,,,77.0,,,,,,,,,77.0,,,,23.12,,,,,,,,,23.12,,,,18.61,,,,,,,,,18.61,,,,27.64,,,,,,,,,27.64,,,,4.51,,,,,,,,,4.51
14,,,,5917.0,,,,,,,,,5917,,,,249.0,,,,,,,,,249.0,,,,75.0,,,,,,,,,75.0,,,,30.12,,,,,,,,,30.12,,,,24.46,,,,,,,,,24.46,,,,35.78,,,,,,,,,35.78,,,,5.66,,,,,,,,,5.66
15,,,,5917.0,,,,,,,,,5917,,,,186.0,,,,,,,,,186.0,,,,78.0,,,,,,,,,78.0,,,,41.94,,,,,,,,,41.94,,,,34.91,,,,,,,,,34.91,,,,48.96,,,,,,,,,48.96,,,,7.02,,,,,,,,,7.02
16,,,,5917.0,,,,,,,,,5917,,,,121.0,,,,,,,,,121.0,,,,53.0,,,,,,,,,53.0,,,,43.8,,,,,,,,,43.8,,,,35.1,,,,,,,,,35.1,,,,52.51,,,,,,,,,52.51,,,,8.71,,,,,,,,,8.71
17,,,,5917.0,,,,,,,,,5917,,,,71.0,,,,,,,,,71.0,,,,37.0,,,,,,,,,37.0,,,,52.11,,,,,,,,,52.11,,,,40.79,,,,,,,,,40.79,,,,63.43,,,,,,,,,63.43,,,,11.32,,,,,,,,,11.32
18,,,,5917.0,,,,,,,,,5917,,,,54.0,,,,,,,,,54.0,,,,33.0,,,,,,,,,33.0,,,,61.11,,,,,,,,,61.11,,,,48.53,,,,,,,,,48.53,,,,73.7,,,,,,,,,73.7,,,,12.58,,,,,,,,,12.58
19,,,,5917.0,,,,,,,,,5917,,,,23.0,,,,,,,,,23.0,,,,21.0,,,,,,,,,21.0,,,,91.3,,,,,,,,,91.3,,,,79.12,,,,,,,,,79.12,,,,100.0,,,,,,,,,100.0,,,,12.19,,,,,,,,,12.19
20,,,,5917.0,,,,,,,,,5917,,,,11.0,,,,,,,,,11.0,,,,9.0,,,,,,,,,9.0,,,,81.82,,,,,,,,,81.82,,,,60.54,,,,,,,,,60.54,,,,100.0,,,,,,,,,100.0,,,,21.28,,,,,,,,,21.28
21,,,,5917.0,,,,,,,,,5917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,5917.0,,,,,,,,,5917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
