Variable,Overall__Emory,Overall__JHU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
"Intubated ≤24hr of admission, n (%)",0 (0.0%),11 (1.6%),,,,<10,<10,<10,
"Reintubation (≥2 IMV episodes), n (%)",0 (0.0%),<10,,,,0 (0.0%),<10,0 (0.0%),0 (0.0%)
"  Time to reintubation (hrs), median [Q1, Q3]",,"5.4 [5.4, 5.4]",,,,,"14.1 [8.5, 19.6]",,"12.4 [5.4, 19.6]"
"  Extubation failure ≤48hr, n (% of extubated)",0 (0.0%),<10,,,,0 (0.0%),<10,0 (0.0%),0 (0.0%)
"Peak NEE (mcg/kg/min), median [Q1, Q3]","0.100 [0.050, 0.200]","0.280 [0.110, 0.664]","0.030 [0.020, 0.125]","0.018 [0.000, 0.051]",,"0.050 [0.000, 0.230]","0.070 [0.030, 0.200]","0.044 [0.000, 0.157]","0.2 [0, 0.7]"
"Median NEE (mcg/kg/min), median [Q1, Q3]","0.050 [0.028, 0.086]","0.100 [0.050, 0.200]","0.020 [0.010, 0.062]","0.005 [0.000, 0.046]",,"0.030 [0.000, 0.075]","0.030 [0.020, 0.090]","0.023 [0.000, 0.067]","0.1 [0, 0.2]"
"28-day NIDFD (NIPPV/HFNC encounters), n (%)",13 (7.6%),38 (5.5%),<10,<10,,26 (10.4%),52 (17.4%),49 (8.1%),178 (8.9%)
"  NIDFD, median [Q1, Q3]","26 [0, 26]","0 [0, 26]","0 [0, 0]","27 [27, 27]",,"26 [22, 27]","17 [0, 26]","19 [0, 27]","10.1 [0, 27]"
"Time to ICU after first ED pressor (hr), median [Q1, Q3]",,,,,,,,,
"Vasopressor encounters, n (%)",170 (100.0%),689 (100.0%),48 (100.0%),20 (100.0%),<10,250 (100.0%),298 (100.0%),604 (100.0%),"2,079 (100.0%)"
"  Norepinephrine, n (%)",157 (92.4%),630 (91.4%),39 (81.2%),16 (80.0%),<10,211 (84.4%),236 (79.2%),576 (95.4%),"1,865 (89.7%)"
