Variable,Overall__Emory,Overall__JHU,Overall__MIMIC,Overall__Michigan,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
  Mild Liver Disease,"6,674 (6.6%)","10,729 (6.6%)","2,699 (3.0%)","1,197 (7.0%)","9,187 (7.3%)","4,790 (7.0%)","5,567 (8.4%)","1,826 (3.1%)","2,240 (4.5%)","6,180 (8.0%)","14,285 (6.5%)","12,124 (6.1%)","77,498 (6.3%)"
  Hemiplegia,"4,484 (4.4%)","9,160 (5.6%)","2,498 (2.8%)","1,075 (6.3%)","8,933 (7.1%)","4,162 (6.1%)","5,083 (7.7%)",,"2,669 (5.4%)","6,320 (8.2%)","9,104 (4.2%)","8,432 (4.3%)","61,920 (5.3%)"
  Connective Tissue Disease,"3,776 (3.7%)","5,642 (3.5%)","1,462 (1.6%)",837 (4.9%),"5,532 (4.4%)","1,955 (2.9%)","2,757 (4.1%)",477 (0.8%),"1,293 (2.6%)","2,580 (3.3%)","9,088 (4.1%)","6,939 (3.5%)","42,338 (3.4%)"
  Moderate Severe Liver Disease,"3,399 (3.4%)","5,534 (3.4%)","2,704 (3.0%)",858 (5.0%),"5,327 (4.2%)","3,003 (4.4%)","3,200 (4.8%)",255 (0.4%),"1,854 (3.7%)","5,867 (7.6%)","8,413 (3.8%)","6,161 (3.1%)","46,575 (3.8%)"
  Peptic Ulcer Disease,"2,160 (2.1%)","3,363 (2.1%)","1,276 (1.4%)",333 (1.9%),"4,937 (3.9%)","1,321 (1.9%)","1,520 (2.3%)","1,042 (1.8%)","1,152 (2.3%)","1,852 (2.4%)","5,030 (2.3%)","3,634 (1.8%)","27,620 (2.2%)"
  Aids,"1,106 (1.1%)",,241 (0.3%),42 (0.2%),405 (0.3%),307 (0.4%),540 (0.8%),"5,508 (9.4%)",321 (0.6%),"1,125 (1.5%)",385 (0.2%),"1,083 (0.5%)","11,063 (1.0%)"
SOFA Scores,,,,,,,,,,,,,
"  Total SOFA score, median [Q1, Q3]","3.0 [1.0, 6.0]","3.0 [1.0, 7.0]","3.0 [2.0, 6.0]","5.0 [1.0, 9.0]","3.0 [1.0, 6.0]","3.0 [1.0, 6.0]","2.0 [1.0, 5.0]","3.0 [1.0, 6.0]","4.0 [1.0, 8.0]","3.0 [1.0, 7.0]","2.0 [1.0, 6.0]","2.0 [1.0, 5.0]","2.7 [1, 9]"
"    Respiratory, median [Q1, Q3]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 1.0]","0.0 [0.0, 2.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 1.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0 [0, 2]"
"    Coagulation, median [Q1, Q3]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0 [0, 1]"
