encounter_type,code_status,count__Emory,count__JHU,count__MIMIC,count__Michigan,count__NU,count__OHSU,count__RUSH,count__Sunnybrook,count__UCMC,count__UCSF,count__UMN,count__UPenn,count__ALL,percentage__Emory,percentage__JHU,percentage__MIMIC,percentage__Michigan,percentage__NU,percentage__OHSU,percentage__RUSH,percentage__Sunnybrook,percentage__UCMC,percentage__UCSF,percentage__UMN,percentage__UPenn,percentage__ALL
ICU Encounters,and,,,,,,,,,,,,15948.0,15948,,,,,,,,,,,,8.73,8.73
ICU Encounters,dnar,,,,,,,,,,,,847.0,847,,,,,,,,,,,,0.46,0.46
ICU Encounters,dnr,,,,,,,,,,,,4426.0,4426,,,,,,,,,,,,2.42,2.42
ICU Encounters,dnr/dni,,,,,,,,,,,,24241.0,24241,,,,,,,,,,,,13.27,13.27
ICU Encounters,full,,,,,,,,,,,,136126.0,136126,,,,,,,,,,,,74.54,74.54
ICU Encounters,other,,,,,,,,,,,,72.0,72,,,,,,,,,,,,0.04,0.04
Advanced Respiratory Support,and,,,,,,,,,,,,11999.0,11999,,,,,,,,,,,,12.12,12.12
Advanced Respiratory Support,dnar,,,,,,,,,,,,518.0,518,,,,,,,,,,,,0.52,0.52
Advanced Respiratory Support,dnr,,,,,,,,,,,,3654.0,3654,,,,,,,,,,,,3.69,3.69
Advanced Respiratory Support,dnr/dni,,,,,,,,,,,,15623.0,15623,,,,,,,,,,,,15.78,15.78
Advanced Respiratory Support,full,,,,,,,,,,,,66983.0,66983,,,,,,,,,,,,67.67,67.67
Advanced Respiratory Support,other,,,,,,,,,,,,52.0,52,,,,,,,,,,,,0.05,0.05
Vasoactive Support,and,,,,,,,,,,,,8989.0,8989,,,,,,,,,,,,13.81,13.81
Vasoactive Support,dnar,,,,,,,,,,,,371.0,371,,,,,,,,,,,,0.57,0.57
Vasoactive Support,dnr,,,,,,,,,,,,2762.0,2762,,,,,,,,,,,,4.24,4.24
Vasoactive Support,dnr/dni,,,,,,,,,,,,9498.0,9498,,,,,,,,,,,,14.59,14.59
Vasoactive Support,full,,,,,,,,,,,,43333.0,43333,,,,,,,,,,,,66.55,66.55
Vasoactive Support,other,,,,,,,,,,,,40.0,40,,,,,,,,,,,,0.06,0.06
Other Critically Ill,and,,,,,,,,,,,,2932.0,2932,,,,,,,,,,,,28.35,28.35
Other Critically Ill,dnar,,,,,,,,,,,,266.0,266,,,,,,,,,,,,2.57,2.57
Other Critically Ill,dnr,,,,,,,,,,,,52.0,52,,,,,,,,,,,,0.5,0.5
Other Critically Ill,dnr/dni,,,,,,,,,,,,6226.0,6226,,,,,,,,,,,,60.2,60.2
Other Critically Ill,full,,,,,,,,,,,,845.0,845,,,,,,,,,,,,8.17,8.17
Other Critically Ill,other,,,,,,,,,,,,8.0,8,,,,,,,,,,,,0.08,0.08
