hour_bin,median__Emory,median__JHU,median__MIMIC,median__Michigan,median__NU,median__OHSU,median__RUSH,median__Sunnybrook,median__UCMC,median__UCSF,median__UMN,median__UPenn,median__ALL,q25__Emory,q25__JHU,q25__MIMIC,q25__Michigan,q25__NU,q25__OHSU,q25__RUSH,q25__Sunnybrook,q25__UCMC,q25__UCSF,q25__UMN,q25__UPenn,q25__ALL,q75__Emory,q75__JHU,q75__MIMIC,q75__Michigan,q75__NU,q75__OHSU,q75__RUSH,q75__Sunnybrook,q75__UCMC,q75__UCSF,q75__UMN,q75__UPenn,q75__ALL,mean__Emory,mean__JHU,mean__MIMIC,mean__Michigan,mean__NU,mean__OHSU,mean__RUSH,mean__Sunnybrook,mean__UCMC,mean__UCSF,mean__UMN,mean__UPenn,mean__ALL,std__Emory,std__JHU,std__MIMIC,std__Michigan,std__NU,std__OHSU,std__RUSH,std__Sunnybrook,std__UCMC,std__UCSF,std__UMN,std__UPenn,std__ALL,count__Emory,count__JHU,count__MIMIC,count__Michigan,count__NU,count__OHSU,count__RUSH,count__Sunnybrook,count__UCMC,count__UCSF,count__UMN,count__UPenn,count__ALL
20,15.5,,,10.0,18.0,,20.0,14.999993,15.0,,,16.5,15.964911,14.0,,,7.0,15.0,,20.0,12.0,15.0,,,14.0,7.0,19.5,,,15.0,20.0,,22.0,17.999997,20.0,,,18.0,22.0,16.5,,,11.56,18.896552,,20.777778,16.121211,16.714286,,,16.722222,17.083333,5.181982,,,6.403645,6.830503,,3.489912,7.528104,4.112988,,,4.860471,5.619368,18.0,,,25.0,58,,27.0,33.0,49,,,18.0,228
21,16.0,,,,16.0,,22.0,15.499994,15.0,,,18.0,16.538011,12.0,,,,15.0,,20.0,14.000005,15.0,,,15.0,12.0,19.0,,,,22.0,,26.0,20.0,18.0,,,20.0,26.0,15.826087,,,,18.564103,,22.619048,17.566666,15.8,,,17.230769,17.690058,4.030026,,,,4.728385,,4.903837,7.766788,4.037326,,,4.245661,4.970498,23.0,,,,39,,21.0,30.0,45,,,13.0,171
22,16.0,,,,15.0,,20.0,14.999993,15.0,,,15.0,16.032257,12.0,,,,10.0,,18.0,12.0,15.0,,,14.0,10.0,19.0,,,,18.0,,24.0,17.999997,20.0,,,20.0,24.0,16.740741,,,,15.95122,,22.69697,15.814814,17.0,,,16.8,17.55914,5.971681,,,,4.969664,,6.385946,6.397337,5.33156,,,5.49343,5.695189,27.0,,,,41,,33.0,27.0,48,,,10.0,186
23,14.0,,,13.5,17.0,,20.0,14.000005,15.0,,,15.0,15.849163,12.0,,,10.0,15.0,,20.0,12.0,15.0,,,14.0,10.0,15.5,,,15.75,20.0,,24.5,17.999997,19.5,,,17.25,24.5,14.571429,,,13.2,17.710526,,22.407407,15.133333,16.152174,,,16.0,16.955307,4.602914,,,6.014797,4.724335,,5.025009,6.569172,4.511553,,,4.489304,5.068411,14.0,,,10.0,38,,27.0,30.0,46,,,14.0,179
24,16.0,,,16.0,18.0,,22.0,14.000005,15.0,,,15.0,16.690608,10.0,,,10.0,15.0,,20.0,12.0,15.0,,,15.0,10.0,19.5,,,18.0,20.0,,26.0,20.0,20.0,,,21.5,26.0,15.111111,,,15.538462,17.297297,,23.333333,16.320001,16.702128,,,17.357143,17.569061,6.105821,,,5.410105,4.719139,,5.406549,7.057621,4.740734,,,5.891417,5.428486,18.0,,,13.0,37,,27.0,25.0,47,,,14.0,181
25,17.0,,,13.5,18.0,,20.0,14.000005,15.0,,,,16.340426,10.0,,,10.25,15.5,,18.0,12.0,15.0,,,,10.0,20.0,,,15.0,25.0,,22.0,17.999997,19.0,,,,25.0,16.714286,,,13.5,19.457143,,21.133333,15.59375,16.444444,,,,17.367021,6.715693,,,4.501634,5.226307,,5.029111,5.84123,4.515406,,,,5.281784,28.0,,,18.0,35,,30.0,32.0,45,,,,188
26,15.0,,,15.0,15.0,,20.0,14.000005,18.0,,,15.0,16.340102,12.0,,,9.75,13.0,,18.5,12.0,15.0,,,15.0,9.75,20.0,,,20.0,22.0,,23.5,17.999997,19.0,,,25.75,25.75,16.722222,,,15.1875,17.72973,,21.538462,15.714286,17.833333,,,19.888889,17.873096,6.658083,,,7.138802,6.444846,,4.282343,6.097098,4.84768,,,9.417686,6.019687,18.0,,,16.0,37,,26.0,28.0,54,,,18.0,197
27,16.0,,,,18.0,,20.5,15.999995,15.0,,,14.0,16.771083,14.75,,,,15.0,,20.0,12.0,15.0,,,13.5,12.0,22.0,,,,22.0,,29.0,22.000003,20.0,,,16.5,29.0,17.25,,,,18.769231,,23.269231,17.172414,16.888889,,,15.727273,18.337349,4.297286,,,,5.121994,,6.258164,7.878856,4.754052,,,4.17351,5.539484,16.0,,,,39,,26.0,29.0,45,,,11.0,166
28,10.0,,,14.0,18.0,,20.5,14.999993,18.0,,,,16.784037,10.0,,,10.0,15.0,,20.0,12.0,15.0,,,,10.0,14.0,,,18.5,20.0,,26.0,20.0,19.0,,,,26.0,11.904762,,,14.894737,17.68,,22.166667,16.6,17.206349,,,,17.201878,4.265029,,,5.905692,4.533053,,4.363511,6.941133,4.216552,,,,4.850744,21.0,,,19.0,50,,30.0,30.0,63,,,,213
29,15.0,,,10.0,18.0,,20.0,14.000005,15.0,,,,15.82143,10.0,,,10.0,15.0,,18.5,12.0,12.0,,,,10.0,18.0,,,13.25,20.0,,25.25,17.999997,19.25,,,,25.25,14.153846,,,12.0,17.75,,22.136364,15.700001,16.068182,,,,16.619048,5.009529,,,4.055175,4.692699,,4.803723,5.861329,5.275647,,,,5.079684,26.0,,,10.0,36,,22.0,30.0,44,,,,168
30,15.0,,,12.0,17.0,,22.0,14.000005,15.0,,,16.5,16.250001,10.0,,,10.0,14.0,,20.0,12.0,14.25,,,14.75,10.0,16.0,,,17.0,21.0,,27.5,17.999997,20.0,,,22.0,27.5,14.2,,,14.0,17.612903,,23.264706,15.333333,16.6,,,18.3125,17.463542,4.872664,,,6.146363,4.379326,,5.620896,6.114296,5.802885,,,6.384552,5.594393,15.0,,,19.0,31,,34.0,27.0,50,,,16.0,192
31,18.0,,,10.0,18.0,,20.0,14.999993,15.0,,,15.0,15.875705,18.0,,,10.0,15.0,,19.0,12.0,15.0,,,14.0,10.0,24.0,,,17.0,20.0,,22.0,18.499998,20.0,,,19.5,24.0,20.705882,,,13.857143,17.447368,,21.315789,16.083333,16.645833,,,17.2,17.333333,5.096135,,,6.754892,4.957644,,3.888053,6.433045,5.451877,,,5.884065,5.455787,17.0,,,21.0,38,,19.0,24.0,48,,,10.0,177
32,12.0,,,9.5,16.0,,22.0,14.000005,15.0,,,15.0,15.459597,9.5,,,8.0,12.0,,18.0,12.0,10.0,,,13.0,8.0,18.0,,,16.0,18.0,,26.0,16.999996,20.0,,,15.0,26.0,13.09375,,,10.833333,15.911111,,22.393939,15.565218,16.275,,,15.0,16.20202,5.50284,,,6.450276,4.586652,,5.024561,6.570085,5.710932,,,3.488075,5.306052,32.0,,,12.0,45,,33.0,23.0,40,,,13.0,198
33,11.0,,,19.0,16.0,,26.0,14.000005,17.0,,,18.0,17.053255,10.0,,,10.5,15.0,,21.0,12.0,15.0,,,15.75,10.0,14.75,,,23.75,22.0,,29.0,15.999995,20.0,,,19.5,29.0,12.055556,,,17.3,18.638889,,24.956522,14.964287,17.181818,,,17.5,17.662722,2.940032,,,8.179242,6.043427,,5.406043,5.922225,5.686674,,,3.689324,5.500264,18.0,,,10.0,36,,23.0,28.0,44,,,10.0,169
34,14.0,,,14.5,16.0,,20.0,14.000005,16.0,,,15.0,15.813188,9.0,,,11.5,14.0,,19.5,12.0,15.0,,,14.25,9.0,19.0,,,20.5,18.0,,22.0,16.499995,20.0,,,21.0,22.0,14.368421,,,16.25,16.038462,,20.583333,14.964286,16.947368,,,17.366667,16.689011,6.465382,,,6.737952,4.13261,,2.66893,5.897157,6.211801,,,5.468477,5.422892,19.0,,,16.0,26,,24.0,28.0,57,,,12.0,182
35,16.5,,,10.5,18.0,,21.0,14.000005,15.0,,,,15.802633,11.0,,,10.0,15.0,,18.0,12.0,13.75,,,,10.0,18.0,,,16.75,20.0,,25.0,18.499998,20.0,,,,25.0,15.7,,,13.666667,17.9375,,22.15,16.214286,15.818182,,,,16.907895,4.667857,,,6.606592,4.950969,,4.55695,7.370397,4.631905,,,,5.429883,10.0,,,18.0,32,,20.0,28.0,44,,,,152
36,12.0,,,13.0,16.5,,22.0,14.000005,15.5,,,15.0,15.59406,10.0,,,9.0,15.0,,20.0,12.0,12.75,,,14.0,9.0,16.0,,,16.0,18.0,,27.0,17.999997,20.0,,,18.0,27.0,13.090909,,,12.941176,16.847826,,23.333333,15.384616,16.619048,,,16.272727,16.504951,5.456439,,,5.261542,4.467002,,5.519197,6.216603,5.373614,,,4.900835,5.273474,33.0,,,17.0,46,,27.0,26.0,42,,,11.0,202
37,17.0,,,,16.0,,20.0,14.000005,15.5,,,15.0,16.429531,10.0,,,,15.0,,18.0,12.0,12.75,,,12.0,10.0,24.75,,,,20.0,,23.0,15.999995,20.0,,,16.5,24.75,17.888889,,,,17.444444,,20.827586,14.285715,16.029412,,,15.0,17.208054,7.490299,,,,5.245104,,3.048055,6.238132,4.802053,,,4.289522,5.057034,18.0,,,,36,,29.0,21.0,34,,,11.0,149
38,15.0,,,14.0,18.0,,21.0,15.499994,15.0,,,,16.3741,14.0,,,10.0,14.75,,18.0,12.500001,12.0,,,,10.0,18.0,,,21.5,22.0,,22.75,17.999997,18.25,,,,22.75,15.588235,,,15.071429,17.6875,,21.4375,16.576923,15.264706,,,,16.798561,5.244745,,,5.863371,4.358436,,4.226405,7.133993,4.392203,,,,5.13064,17.0,,,14.0,32,,16.0,26.0,34,,,,139
39,15.0,,,12.0,18.0,,20.0,14.000005,15.0,,,,15.924529,10.0,,,9.0,15.0,,18.0,12.0,12.0,,,,9.0,16.0,,,18.5,23.5,,23.0,17.999997,20.0,,,,23.5,14.058824,,,13.473684,18.447368,,21.565217,15.080001,15.405405,,,,16.597484,6.388178,,,7.911794,5.361007,,6.258275,5.626722,4.781094,,,,5.812266,17.0,,,19.0,38,,23.0,25.0,37,,,,159
40,16.0,,,13.0,15.0,,22.0,14.000005,15.0,,,,15.520271,10.0,,,10.0,15.0,,20.0,12.0,14.25,,,,10.0,21.0,,,15.0,18.0,,28.0,16.999996,20.0,,,,28.0,16.0,,,12.5,16.540541,,22.733333,14.304349,15.857143,,,,16.22973,5.953524,,,4.100998,4.038664,,5.444088,6.615648,4.966087,,,,5.095651,19.0,,,12.0,37,,15.0,23.0,42,,,,148
41,14.0,,,12.0,15.0,,20.0,14.000005,15.0,,,,15.26087,10.5,,,10.0,12.5,,18.0,12.0,15.0,,,,10.0,17.25,,,18.5,19.5,,24.0,16.999996,17.75,,,,24.0,14.0,,,14.181818,15.617647,,21.590909,15.26087,15.433333,,,,16.144928,3.54799,,,6.750084,3.733669,,4.170864,4.956331,3.962613,,,,4.273134,18.0,,,11.0,34,,22.0,23.0,30,,,,138
42,12.5,,,11.0,18.0,,22.0,14.000005,15.0,,,18.0,15.810976,10.0,,,10.0,14.5,,19.0,12.0,13.5,,,12.0,10.0,18.0,,,14.75,24.0,,26.0,16.499995,20.0,,,23.0,26.0,13.545455,,,12.5,18.428571,,23.043478,15.458335,15.583333,,,18.076923,16.682927,4.768221,,,5.963122,6.16098,,5.514265,5.08176,4.662158,,,6.047886,5.365823,22.0,,,18.0,28,,23.0,24.0,36,,,13.0,164
43,15.0,,,11.0,18.0,,20.0,14.000005,15.5,,,,15.557972,10.0,,,10.0,15.0,,18.0,12.500001,14.75,,,,10.0,18.0,,,14.75,22.0,,22.5,17.999997,18.0,,,,22.5,14.789474,,,12.777778,17.741935,,21.166667,15.772728,15.916667,,,,16.195652,5.958924,,,5.09389,4.668817,,4.130449,4.859275,4.35808,,,,4.804371,19.0,,,18.0,31,,12.0,22.0,36,,,,138
44,12.0,,,12.0,15.0,,22.0,14.000005,16.0,,,,15.121388,8.0,,,9.0,15.0,,20.0,12.0,15.0,,,,8.0,16.5,,,14.5,20.0,,23.75,15.999995,18.0,,,,23.75,12.65625,,,11.526316,17.184211,,21.909091,15.380954,16.365854,,,,15.913295,5.102873,,,4.58704,5.760327,,4.116275,4.984739,3.832467,,,,4.749751,32.0,,,19.0,38,,22.0,21.0,41,,,,173
45,18.0,,,15.0,20.0,,22.0,14.000005,15.0,,,,16.860871,15.0,,,12.0,15.25,,19.0,14.000005,15.0,,,,12.0,24.0,,,19.0,20.0,,26.0,20.0,16.0,,,,26.0,18.588235,,,16.5,18.409091,,22.727273,17.208335,15.354839,,,,17.608696,5.799341,,,6.096447,4.283513,,4.584559,5.477059,3.674674,,,,4.779,17.0,,,10.0,22,,11.0,24.0,31,,,,115
46,15.0,,,10.0,18.0,,20.0,15.999995,15.0,,,,15.948717,10.0,,,9.0,15.0,,18.0,14.000005,15.0,,,,9.0,16.0,,,15.0,22.0,,22.0,17.999997,18.0,,,,22.0,13.611111,,,11.823529,18.181818,,20.142857,17.13793,15.5,,,,16.378205,3.664438,,,6.00245,5.015317,,3.244776,6.717377,3.895597,,,,4.772333,18.0,,,17.0,33,,21.0,29.0,38,,,,156
47,18.0,,,11.0,16.0,,22.0,15.499994,15.0,,,,16.147886,16.0,,,9.5,13.0,,18.0,14.000005,15.0,,,,9.5,24.0,,,14.25,20.0,,25.0,20.0,18.0,,,,25.0,19.555556,,,11.75,16.481481,,22.631579,17.153846,16.083333,,,,17.183099,6.002178,,,4.389381,5.213668,,5.101313,5.025473,2.760693,,,,4.54937,18.0,,,16.0,27,,19.0,26.0,36,,,,142
