hour_bin,median__Emory,median__JHU,median__MIMIC,median__Michigan,median__NU,median__OHSU,median__RUSH,median__Sunnybrook,median__UCMC,median__UCSF,median__UMN,median__UPenn,median__ALL,q25__Emory,q25__JHU,q25__MIMIC,q25__Michigan,q25__NU,q25__OHSU,q25__RUSH,q25__Sunnybrook,q25__UCMC,q25__UCSF,q25__UMN,q25__UPenn,q25__ALL,q75__Emory,q75__JHU,q75__MIMIC,q75__Michigan,q75__NU,q75__OHSU,q75__RUSH,q75__Sunnybrook,q75__UCMC,q75__UCSF,q75__UMN,q75__UPenn,q75__ALL,mean__Emory,mean__JHU,mean__MIMIC,mean__Michigan,mean__NU,mean__OHSU,mean__RUSH,mean__Sunnybrook,mean__UCMC,mean__UCSF,mean__UMN,mean__UPenn,mean__ALL,std__Emory,std__JHU,std__MIMIC,std__Michigan,std__NU,std__OHSU,std__RUSH,std__Sunnybrook,std__UCMC,std__UCSF,std__UMN,std__UPenn,std__ALL,count__Emory,count__JHU,count__MIMIC,count__Michigan,count__NU,count__OHSU,count__RUSH,count__Sunnybrook,count__UCMC,count__UCSF,count__UMN,count__UPenn,count__ALL
125,15.0,,,,15.0,,,,15.0,,,,15.0,10.0,,,,12.5,,,,12.25,,,,10.0,16.0,,,,20.0,,,,17.5,,,,20.0,15.058824,,,,16.290323,,,,14.807692,,,,15.486486,5.868034,,,,4.164881,,,,3.868015,,,,4.451842,17.0,,,,31,,,,26,,,,74
126,18.0,,,8.0,15.5,,21.0,,15.0,,,,15.282353,18.0,,,6.5,14.75,,20.0,,14.0,,,,6.5,20.0,,,12.5,20.0,,23.75,,17.0,,,,23.75,18.5,,,9.916667,16.958333,,21.6,,15.148148,,,,16.152941,1.507557,,,5.089353,4.553825,,2.01108,,3.382122,,,,3.528033,12.0,,,12.0,24,,10.0,,27,,,,85
128,14.0,,,,15.0,,23.0,,15.0,,,,15.977528,10.0,,,,12.0,,20.0,,14.0,,,,10.0,16.0,,,,18.0,,24.0,,19.5,,,,24.0,13.764706,,,,15.621622,,22.230769,,15.409091,,,,16.179775,3.849179,,,,4.480522,,2.385856,,3.737316,,,,3.870252,17.0,,,,37,,13.0,,22,,,,89
130,18.0,,,,15.0,,23.0,,15.0,,,,16.486842,18.0,,,,12.0,,20.0,,12.0,,,,12.0,20.0,,,,18.0,,25.5,,16.0,,,,25.5,18.545455,,,,15.034483,,23.0,,14.923077,,,,16.552632,1.572491,,,,4.212929,,3.681787,,3.223949,,,,3.422538,11.0,,,,29,,10.0,,26,,,,76
132,16.0,,,,17.0,,,,15.0,,,,16.119403,16.0,,,,12.0,,,,11.5,,,,11.5,16.0,,,,22.0,,,,18.0,,,,22.0,16.181818,,,,17.625,,,,14.958333,,,,16.432836,3.736795,,,,5.551809,,,,4.101741,,,,4.734394,11.0,,,,32,,,,24,,,,67
133,14.0,,,,16.0,,24.0,,14.5,,,,16.49505,10.0,,,,15.0,,20.0,,10.0,,,,10.0,18.0,,,,20.0,,24.0,,16.0,,,,24.0,15.428571,,,,16.545455,,23.2,,13.785714,,,,16.613861,6.247637,,,,4.223162,,3.985689,,3.784541,,,,4.346916,14.0,,,,44,,15.0,,28,,,,101
137,16.0,,,,18.0,,20.0,,15.0,,,,17.012821,10.0,,,,15.0,,18.0,,13.0,,,,10.0,18.0,,,,20.0,,24.0,,16.0,,,,24.0,13.647059,,,,17.68,,21.307692,,14.521739,,,,16.474359,4.014679,,,,4.543494,,5.186274,,3.36924,,,,4.189115,17.0,,,,25,,13.0,,23,,,,78
140,18.0,,,13.0,15.0,,22.0,,15.0,,,,16.045977,11.5,,,8.0,12.0,,18.0,,11.5,,,,8.0,20.0,,,18.5,20.0,,24.0,,17.75,,,,24.0,16.833333,,,13.454545,15.931034,,22.0,,14.708333,,,,16.172414,5.936533,,,6.75816,5.084508,,4.289522,,3.838922,,,,4.969514,12.0,,,11.0,29,,11.0,,24,,,,87
142,12.0,,,,15.0,12.0,20.0,,15.0,,,,14.171171,12.0,,,,12.0,12.0,18.0,,14.0,,,,12.0,14.0,,,,17.25,12.0,22.0,,18.0,,,,22.0,13.384615,,,,15.05,12.166667,19.363636,,15.290323,,,,14.414414,3.305008,,,,4.430457,0.696932,4.780643,,3.368418,,,,2.825872,13.0,,,,20,36.0,11.0,,31,,,,111
146,13.0,,,12.5,18.0,,20.0,,14.0,,,,15.691358,12.0,,,7.75,11.5,,20.0,,12.0,,,,7.75,15.0,,,17.25,20.0,,22.0,,15.0,,,,22.0,13.5,,,13.5,16.25,,21.357143,,14.04,,,,15.703704,1.678744,,,7.691987,5.220153,,2.648865,,3.5294,,,,4.034407,12.0,,,10.0,20,,14.0,,25,,,,81
151,16.0,,,16.0,18.5,,25.0,,15.0,,,,17.493671,8.0,,,11.5,15.0,,21.0,,12.5,,,,8.0,18.5,,,28.0,20.0,,28.0,,15.0,,,,28.0,15.0,,,17.833333,17.944444,,23.909091,,14.346154,,,,17.126582,6.0,,,8.632216,4.451995,,4.0609,,3.084702,,,,4.817654,12.0,,,12.0,18,,11.0,,26,,,,79
155,12.0,,,14.0,20.0,,,,15.0,,,,15.693333,12.0,,,12.5,15.0,,,,14.0,,,,12.0,16.0,,,17.0,20.0,,,,15.0,,,,20.0,13.285714,,,14.727273,18.238095,,,,14.551724,,,,15.373333,4.681035,,,2.90141,4.392092,,,,3.006971,,,,3.691815,14.0,,,11.0,21,,,,29,,,,75
156,10.0,,,12.5,16.0,,,,15.0,,,,14.013889,9.5,,,8.75,13.5,,,,14.0,,,,8.75,15.25,,,17.0,19.5,,,,16.0,,,,19.5,11.833333,,,13.166667,16.789474,,,,15.0,,,,14.638889,3.433348,,,6.117536,4.063099,,,,3.0,,,,3.872354,12.0,,,12.0,19,,,,29,,,,72
158,18.0,,,15.0,18.0,,,,15.0,,,,16.565217,12.0,,,12.0,15.0,,,,11.25,,,,11.25,18.0,,,17.5,20.0,,,,15.0,,,,20.0,16.181818,,,15.636364,17.0,,,,14.454545,,,,15.84058,3.400535,,,7.47359,5.627314,,,,3.362642,,,,4.844585,11.0,,,11.0,25,,,,22,,,,69
160,15.0,,,12.0,15.0,,,,15.0,,,,14.582278,9.0,,,10.0,12.0,,,,10.0,,,,9.0,16.0,,,19.5,18.0,,,,20.0,,,,20.0,12.533333,,,14.272727,15.5625,,,,14.857143,,,,14.620253,3.642344,,,6.37324,3.482097,,,,3.940631,,,,4.036976,15.0,,,11.0,32,,,,21,,,,79
162,14.0,,,,15.0,,22.0,,15.0,,,,16.082192,12.0,,,,12.0,,22.0,,11.5,,,,11.5,16.5,,,,18.0,,26.0,,15.5,,,,26.0,14.5,,,,15.44,,24.230769,,14.434783,,,,16.534247,2.713602,,,,4.011234,,4.763644,,3.615951,,,,3.807374,12.0,,,,25,,13.0,,23,,,,73
163,16.0,,,12.0,15.5,,,,14.5,,,,14.323944,14.5,,,10.0,14.25,,,,11.25,,,,10.0,18.0,,,15.5,20.0,,,,15.0,,,,20.0,16.6,,,13.210526,15.95,,,,13.909091,,,,14.676056,2.319004,,,5.9961,3.762348,,,,3.235357,,,,3.993532,10.0,,,19.0,20,,,,22,,,,71
61,,,,12.0,15.0,,21.0,15.499994,15.0,,,,15.530434,,,,10.0,12.0,,18.5,12.0,15.0,,,,10.0,,,,18.0,20.0,,24.0,18.499998,18.75,,,,24.0,,,,14.818182,16.6875,,21.928571,15.85,16.368421,,,,16.895652,,,,7.096734,5.245197,,4.340583,6.442254,3.934745,,,,5.087339,,,,11.0,32,,14.0,20.0,38,,,,115
69,,,,10.0,18.5,,20.0,15.999995,15.0,,,,16.293477,,,,6.75,15.0,,20.0,12.0,15.0,,,,6.75,,,,10.5,21.5,,24.0,17.999997,17.5,,,,24.0,,,,9.833333,18.576923,,20.866667,17.384615,15.153846,,,,16.673913,,,,4.344973,5.485786,,4.223517,6.185178,4.27731,,,,4.888481,,,,12.0,26,,15.0,13.0,26,,,,92
81,,,,12.0,15.0,,21.0,14.000005,15.0,,,,15.262627,,,,6.75,15.0,,18.0,13.500004,14.0,,,,6.75,,,,13.0,20.0,,24.0,18.499998,17.5,,,,24.0,,,,12.25,17.25,,21.692308,16.375002,14.846154,,,,16.454546,,,,6.837397,5.060919,,4.732593,5.667157,5.025474,,,,5.321805,,,,12.0,32,,13.0,16.0,26,,,,99
110,,,,12.0,16.0,,20.0,,15.0,,,,15.4375,,,,9.5,13.5,,20.0,,12.0,,,,9.5,,,,14.75,20.0,,22.0,,18.0,,,,22.0,,,,13.2375,16.885714,,20.727273,,15.205882,,,,16.122917,,,,6.307337,6.115417,,2.412091,,3.80414,,,,4.904487,,,,16.0,35,,11.0,,34,,,,96
116,,,,10.0,15.0,,24.0,,16.0,,,,15.875,,,,10.0,12.0,,21.0,,15.0,,,,10.0,,,,14.5,20.0,,26.0,,20.0,,,,26.0,,,,11.727273,16.575758,,23.0,,16.393939,,,,16.704545,,,,3.552208,4.796029,,4.91935,,4.122646,,,,4.403448,,,,11.0,33,,11.0,,33,,,,88
122,,,,11.0,15.0,,22.0,,15.0,,,,15.333333,,,,6.5,12.0,,20.0,,14.5,,,,6.5,,,,15.25,20.0,,24.0,,17.0,,,,24.0,,,,12.1875,15.731707,,21.928571,,15.193548,,,,15.862745,,,,7.129458,4.307113,,4.08495,,3.833357,,,,4.575356,,,,16.0,41,,14.0,,31,,,,102
123,,,,12.0,15.0,,,,15.0,,,,14.431034,,,,7.0,13.0,,,,12.0,,,,7.0,,,,15.0,21.0,,,,18.5,,,,21.0,,,,11.363636,16.956522,,,,15.291667,,,,15.206897,,,,4.822297,6.093799,,,,4.048394,,,,5.006278,,,,11.0,23,,,,24,,,,58
134,,,,15.0,15.0,,,,15.0,,,,15.0,,,,12.5,12.0,,,,12.0,,,,12.0,,,,20.0,18.5,,,,17.0,,,,20.0,,,,16.1,15.3,,,,14.518519,,,,15.070175,,,,4.909175,4.623737,,,,3.745463,,,,4.257789,,,,10.0,20,,,,27,,,,57
141,,,,10.0,15.0,12.0,,,14.0,,,,13.209302,,,,9.25,12.0,12.0,,,12.0,,,,9.25,,,,12.5,20.0,12.0,,,15.5,,,,20.0,,,,12.166667,16.333333,12.0,,,14.263158,,,,14.034884,,,,6.54819,5.094509,0.0,,,3.525181,,,,3.469674,,,,12.0,30,25.0,,,19,,,,86
143,,,,14.0,16.0,12.0,,,15.0,,,,13.77907,,,,10.0,15.0,12.0,,,14.0,,,,10.0,,,,15.0,20.0,12.0,,,15.0,,,,20.0,,,,13.230769,16.736842,12.324324,,,14.647059,,,,13.895349,,,,5.068758,4.240573,0.9444,,,3.161115,,,,2.734262,,,,13.0,19,37.0,,,17,,,,86
144,,,,10.0,15.0,,,,14.5,,,,13.740741,,,,7.5,15.0,,,,12.0,,,,7.5,,,,14.5,20.0,,,,18.0,,,,20.0,,,,11.636364,16.705882,,,,14.538462,,,,14.62963,,,,6.0543,4.673926,,,,3.624702,,,,4.449931,,,,11.0,17,,,,26,,,,54
147,,,,13.5,16.0,,,,14.5,,,,15.075758,,,,10.5,14.0,,,,11.5,,,,10.5,,,,18.75,20.0,,,,15.0,,,,20.0,,,,14.5,17.03125,,,,14.125,,,,15.590909,,,,5.038739,5.263902,,,,3.579076,,,,4.617122,,,,10.0,32,,,,24,,,,66
148,,,,16.0,16.0,,,,15.0,,,,15.58209,,,,7.0,12.25,,,,12.75,,,,7.0,,,,28.0,18.0,,,,20.0,,,,28.0,,,,15.769231,15.923077,,,,15.142857,,,,15.567164,,,,9.696682,4.194502,,,,3.778245,,,,5.088131,,,,13.0,26,,,,28,,,,67
152,,,,15.0,18.0,,20.0,,15.0,,,,17.0,,,,8.5,12.0,,20.0,,14.0,,,,8.5,,,,15.75,20.0,,26.0,,16.0,,,,26.0,,,,13.5,16.655172,,22.909091,,14.857143,,,,16.647887,,,,5.602579,4.418111,,4.928581,,3.150964,,,,4.289234,,,,10.0,29,,11.0,,21,,,,71
153,,,,13.5,15.0,,,,15.0,,,,14.794521,,,,10.25,12.0,,,,14.75,,,,10.25,,,,18.75,17.0,,,,15.25,,,,18.75,,,,15.6,15.025641,,,,15.083333,,,,15.123288,,,,7.441625,4.782023,,,,2.796219,,,,4.493485,,,,10.0,39,,,,24,,,,73
154,,,,12.0,20.0,,22.0,,15.0,,,,16.734375,,,,10.0,13.75,,20.0,,14.0,,,,10.0,,,,22.0,21.0,,23.5,,17.0,,,,23.5,,,,16.307692,18.8125,,22.3,,15.04,,,,17.375,,,,8.138229,5.682942,,4.98999,,3.034249,,,,5.038753,,,,13.0,16,,10.0,,25,,,,64
165,,,,12.5,15.0,,,,12.0,,,,13.306452,,,,10.0,12.0,,,,10.0,,,,10.0,,,,18.5,20.0,,,,15.0,,,,20.0,,,,15.333333,16.36,,,,12.88,,,,14.758065,,,,7.819943,6.264184,,,,3.282783,,,,5.363121,,,,12.0,25,,,,25,,,,62
168,,,,10.5,16.0,,,,15.0,,,,14.411765,,,,10.0,12.0,,,,10.25,,,,10.0,,,,14.25,20.0,,,,19.5,,,,20.0,,,,12.1,16.466667,,,,14.615385,,,,14.666667,,,,4.45845,4.596065,,,,4.070154,,,,4.30097,,,,10.0,15,,,,26,,,,51
86,,,,,16.0,,24.0,15.999995,16.0,,,,17.542168,,,,,15.0,,19.5,14.000005,15.0,,,,14.000005,,,,,18.0,,30.5,20.0,20.0,,,,30.5,,,,,16.6,,24.6875,17.076924,16.206897,,,,18.096386,,,,,4.193249,,6.477847,5.574668,4.562106,,,,4.978898,,,,,25,,16.0,13.0,29,,,,83
97,,,,,18.0,,,,17.0,,,,17.59375,,,,,12.0,,,,15.0,,,,12.0,,,,,20.0,,,,20.0,,,,20.0,,,,,16.5,,,,17.730769,,,,17.0,,,,,4.61929,,,,4.219552,,,,4.456896,,,,,38,,,,26,,,,64
109,,,,,17.0,,24.0,16.499995,16.0,,,,17.385416,,,,,14.25,,21.0,14.000005,13.0,,,,13.0,,,,,19.25,,26.0,21.000001,20.0,,,,26.0,,,,,16.25,,23.818182,19.100001,16.2,,,,17.395833,,,,,3.828034,,4.045199,7.370361,4.330467,,,,4.405089,,,,,40,,11.0,10.0,35,,,,96
127,,,,,19.5,,,,15.0,,,,17.25,,,,,15.0,,,,13.5,,,,13.5,,,,,20.5,,,,16.5,,,,20.5,,,,,17.75,,,,14.9,,,,16.325,,,,,5.045842,,,,3.177222,,,,4.111532,,,,,20,,,,20,,,,40
129,,,,,15.0,,,,15.0,,,,15.0,,,,,12.0,,,,12.25,,,,12.0,,,,,19.0,,,,17.5,,,,19.0,,,,,14.956522,,,,14.863636,,,,14.911111,,,,,4.415657,,,,3.629187,,,,4.03116,,,,,23,,,,22,,,,45
131,,,,,15.0,,20.0,,15.0,,,,16.065574,,,,,15.0,,18.0,,12.0,,,,12.0,,,,,17.0,,22.0,,20.0,,,,22.0,,,,,15.461538,,19.923077,,15.657143,,,,16.52459,,,,,2.221688,,3.121472,,4.438752,,,,3.685531,,,,,13,,13.0,,35,,,,61
135,,,,,20.0,,22.0,,14.5,,,,17.884615,,,,,13.0,,20.0,,10.75,,,,10.75,,,,,22.0,,23.0,,16.25,,,,23.0,,,,,18.058824,,21.545455,,14.291667,,,,17.057692,,,,,5.889297,,3.670521,,3.939534,,,,4.52005,,,,,17,,11.0,,24,,,,52
136,,,,,15.0,,,,15.0,,,,15.0,,,,,12.0,,,,12.0,,,,12.0,,,,,20.0,,,,20.0,,,,20.0,,,,,16.241379,,,,15.64,,,,15.962963,,,,,4.763366,,,,4.221769,,,,4.512627,,,,,29,,,,25,,,,54
138,,,,,16.0,,,,15.0,,,,15.46,,,,,13.0,,,,10.0,,,,10.0,,,,,19.5,,,,20.0,,,,20.0,,,,,16.043478,,,,14.777778,,,,15.36,,,,,3.747463,,,,4.353013,,,,4.07446,,,,,23,,,,27,,,,50
139,,,,,18.0,,,,15.0,,,,16.38,,,,,15.0,,,,13.0,,,,13.0,,,,,20.0,,,,18.0,,,,20.0,,,,,17.521739,,,,15.111111,,,,16.22,,,,,4.785105,,,,3.775766,,,,4.240062,,,,,23,,,,27,,,,50
145,,,,,15.0,,,,15.0,,,,15.0,,,,,12.0,,,,12.0,,,,12.0,,,,,20.0,,,,15.0,,,,20.0,,,,,15.74359,,,,14.090909,,,,14.986111,,,,,4.727957,,,,3.253495,,,,4.052162,,,,,39,,,,33,,,,72
149,,,,,15.0,,21.0,,15.0,,,,16.3125,,,,,12.0,,20.0,,14.0,,,,12.0,,,,,18.0,,26.75,,15.75,,,,26.75,,,,,16.041667,,22.785714,,14.538462,,,,16.90625,,,,,3.838922,,3.964818,,2.84578,,,,3.462997,,,,,24,,14.0,,26,,,,64
150,,,,,15.0,,,,15.0,,,,15.0,,,,,12.0,,,,12.0,,,,12.0,,,,,19.5,,,,15.0,,,,19.5,,,,,14.62963,,,,14.166667,,,,14.385965,,,,,5.167563,,,,3.227931,,,,4.146704,,,,,27,,,,30,,,,57
157,,,,,15.0,,21.0,,14.5,,,,16.202899,,,,,12.0,,19.5,,12.25,,,,12.0,,,,,19.0,,26.5,,15.0,,,,26.5,,,,,15.148148,,22.5625,,14.307692,,,,16.550725,,,,,4.646783,,5.163574,,3.003588,,,,4.147444,,,,,27,,16.0,,26,,,,69
159,,,,,15.0,,24.0,,15.0,,,,16.666667,,,,,11.0,,20.0,,12.0,,,,11.0,,,,,18.0,,27.0,,15.0,,,,27.0,,,,,15.391304,,23.6,,14.285714,,,,16.481481,,,,,5.254774,,4.087923,,3.180296,,,,4.231949,,,,,23,,10.0,,21,,,,54
161,,,,,15.0,,20.0,,15.0,,,,15.948276,,,,,12.0,,19.0,,11.0,,,,11.0,,,,,19.75,,24.0,,15.0,,,,24.0,,,,,16.615385,,21.363636,,13.857143,,,,16.517241,,,,,6.007175,,4.566678,,2.971291,,,,4.634778,,,,,26,,11.0,,21,,,,58
164,,,,,18.0,,,,13.0,,,,15.380952,,,,,15.0,,,,11.0,,,,11.0,,,,,20.0,,,,15.0,,,,20.0,,,,,18.65,,,,13.454545,,,,15.928571,,,,,5.450978,,,,3.334199,,,,4.342189,,,,,20,,,,22,,,,42
166,,,,,15.5,,22.0,,15.0,,,,16.788462,,,,,12.0,,21.5,,10.0,,,,10.0,,,,,19.5,,25.0,,15.75,,,,25.0,,,,,15.944444,,24.25,,14.0,,,,17.038462,,,,,4.987894,,5.047502,,3.505098,,,,4.374313,,,,,18,,12.0,,22,,,,52
167,,,,,16.0,,,,15.0,,,,15.575,,,,,13.5,,,,11.0,,,,11.0,,,,,19.5,,,,15.0,,,,19.5,,,,,16.73913,,,,13.882353,,,,15.525,,,,,4.329785,,,,2.955553,,,,3.745736,,,,,23,,,,17,,,,40
