value,mimic_iv_probability,nu_probability,ucmc_probability
65.0,,0.42232392575642,0.39159803024360484
66.0,,0.4241037376048818,0.3954983222207696
67.0,,0.4266463259598271,0.3995729289231708
68.0,,0.4281718789727943,0.4035385889222992
69.0,,0.4302059496567506,0.40709025144899114
70.0,0.48506264053967235,0.4327485380116959,0.4122543251841199
71.0,,0.43427409102466313,0.415457358260339
72.0,,0.43605390287312484,0.4189654421057219
73.0,,0.4388507500635647,0.42260426199503204
74.0,,0.44063056191202643,0.425959820455833
75.0,,0.4426646325959827,0.42955506166383406
76.0,,0.4439359267734554,0.43317209221248965
77.0,,0.4449529621154335,0.43611365320085416
78.0,,0.4472412916348843,0.4392077395738005
79.0,,0.4477498093058734,0.4428029807818015
80.0,0.5050229243933066,0.4492753623188406,0.4472697956159847
81.0,,0.45080091533180777,0.4502331459450037
82.0,,0.45258072718026954,0.4537630191310411
83.0,,0.45486905669972033,0.45655205473482374
84.0,,0.45563183320620393,0.4599511918769338
85.0,,0.4576659038901602,0.46321959297511656
86.0,,0.4584286803966438,0.46642262605133566
87.0,,0.46046275108060003,0.4696256591275548
88.0,,0.4627510806000509,0.47267616681919206
89.0,,0.4640223747775235,0.4753562557197019
90.0,0.5240779137341939,0.4650394101195017,0.47899507560901206
91.0,,0.46656496313246887,0.4820237939599948
92.0,,0.4678362573099415,0.4848128295637774
93.0,,0.46885329265191966,0.48736218242035995
94.0,,0.47139588100686497,0.4898679565956334
95.0,,0.47292143401983217,0.4926352028587615
96.0,,0.47470124586829393,0.49535887044058047
97.0,,0.4769895753877447,0.4978864339565085
98.0,,0.4782608695652174,0.5008062056042184
99.0,,0.4792779049071955,0.5032466117575283
100.0,0.5408258622200157,0.4808034579201627,0.5143373861506951
101.0,,0.482837528604119,0.5166906349413867
102.0,,0.4841088227815917,0.5189349370288056
103.0,,0.4848715992880753,0.5211574497755698
104.0,,0.48690566997203155,0.5230967010938249
105.0,,0.4874141876430206,0.5253192138405892
106.0,,0.48843122298499875,0.5277160413125899
107.0,,0.4897025171624714,0.5303961302130997
108.0,,0.4919908466819222,0.532618642959864
109.0,,0.4927536231884058,0.5348629450472828
110.0,0.5558946353999358,0.49300788202390033,0.5379570314202292
111.0,,0.49377065853038393,0.539765546694557
112.0,,0.4950419527078566,0.5417919553754303
113.0,,0.4965675057208238,0.543949100100231
114.0,,0.4975845410628019,0.546280559550268
115.0,,0.498093058733791,0.548372336253105
116.0,,0.5003813882532419,0.5501154835054691
117.0,,0.5013984235952199,0.5521418921863425
118.0,,0.5021612001017035,0.5542336688891795
119.0,,0.5034324942791762,0.5561293415261254
120.0,0.5697368805303273,0.5044495296211543,0.5588312197672899
121.0,,0.505720823798627,0.5610973111953632
122.0,,0.5077548944825833,0.5630147731729638
123.0,,0.5090261886600559,0.5649104458099098
124.0,,0.5097889651665395,0.566501067677692
125.0,,0.5110602593440122,0.5688107377870746
126.0,,0.5120772946859904,0.5709678825118751
127.0,,0.512840071192474,0.5725585043796575
