value,emory_probability,nu_probability,ohsu_probability
165.0,0.44702250825377,0.4840072477589166,0.45938993236375125
166.0,0.4506837244579281,0.4880109987920402,0.46327700456969456
167.0,0.4542417685375212,0.4920958102867315,0.46704782231549075
168.0,0.45805356027482824,0.4960375739080679,0.47117932697610226
169.0,0.4617398724011778,0.49993483374658276,0.47507236094923255
170.0,0.4655488757026858,0.5038686502638439,0.4790518405465748
171.0,0.46931326403140894,0.5077659101023587,0.48290016126580243
172.0,0.4731557285625056,0.5116711170449488,0.48684387026002246
173.0,0.4768225216382618,0.5156001652997647,0.4907518086511204
174.0,0.48058412153118585,0.5194290800432323,0.49468657499455987
175.0,0.48429831801552603,0.5232770678364804,0.4987584619833011
176.0,0.487850785223521,0.5270582999554962,0.5025054326603492
177.0,0.4914896939412867,0.5309396655858605,0.5063805813319184
178.0,0.49503379584188456,0.5347161294424312,0.5101812079136497
179.0,0.4988316454001963,0.5385068980863373,0.5140235668656903
180.0,0.5025709378067279,0.5424025685040371,0.5177764993099254
181.0,0.5062572499330775,0.5461504227859368,0.5215383744049411
182.0,0.509985388596413,0.549912581855172,0.5254373701452585
183.0,0.5136215088783795,0.5535952698836544,0.5292171305418352
184.0,0.5172213794949585,0.5574098798397864,0.5330505468430953
185.0,0.5208770188275185,0.5611990590628775,0.5369942558373153
186.0,0.5244768894440974,0.564943734503147,0.5408097868370142
187.0,0.5280460872668867,0.5686756945768962,0.5444285795195412
188.0,0.531763072187026,0.5723234153474474,0.5480265060169135
189.0,0.5352346747568484,0.5759949774302244,0.5518062664134903
190.0,0.5388680066030159,0.5795648165808379,0.5556128547624086
191.0,0.5424511466048005,0.5831171721024858,0.5593121313019606
192.0,0.5459562104042116,0.5868729734884608,0.5629935225399513
193.0,0.5495505041491925,0.5905238731006421,0.5667971300052762
194.0,0.5530583563844026,0.5942049717083094,0.5703592858995263
195.0,0.5566080351565985,0.5976063322525271,0.5740555815554846
196.0,0.5601298295708039,0.6010553754211965,0.5778025522325327
197.0,0.5636627777282056,0.604623625150995,0.5814422111002143
198.0,0.5670758231462478,0.6080647212155891,0.5851176405710181
199.0,0.57063665566164,0.6116584016784283,0.5885814273066823
200.0,0.5740608548228786,0.615145590946659,0.591973672836102
201.0,0.5776021682876773,0.6186518532646703,0.5956967964444021
202.0,0.5810486749353083,0.62211043295823,0.599229143502717
203.0,0.5845091237619345,0.6255690126517897,0.6027644714446256
204.0,0.587930534487374,0.62904666539513,0.6063832641271526
205.0,0.591432809850986,0.6325259075592854,0.6099215729526546
206.0,0.5950689301329526,0.6359002479496472,0.6136387347937675
207.0,0.5984708218077986,0.63930637675631,0.6172277186403594
208.0,0.6019730971714107,0.642572636531248,0.6205305376619737
209.0,0.605333162309271,0.6459390298175345,0.6239466302601417
210.0,0.6087629383421076,0.6491305868141649,0.6273865699270578
211.0,0.6122596368341215,0.6524779070506708,0.6306655418799241
212.0,0.6157591237619345,0.6559078771695595,0.6337567181663989
213.0,0.6190550548764165,0.6591455273698265,0.6371877151825344
214.0,0.6223649281698939,0.6622131095428826,0.6403772606275953
215.0,0.625672013027572,0.6655048000508614,0.6437128693687383
216.0,0.6288173686089051,0.6687074829931973,0.6470574207606619
217.0,0.632099357544392,0.6718910928857524,0.6502737941580643
218.0,0.6354287498884625,0.6750413249411914,0.6533858366296937
219.0,0.6388724681002944,0.6780802975395765,0.6566111526778767
220.0,0.6419425359150531,0.6811796681289338,0.6598752202127754
221.0,0.6450878914963862,0.6842218195689491,0.6629962053351854
222.0,0.6482527661283126,0.6873211901583063,0.6659919933466678
223.0,0.6514817747836174,0.6902981753449043,0.6691308637706389
224.0,0.6545323235477827,0.6932529086400916,0.6722488680094554
225.0,0.6577641206388865,0.6962235361434294,0.675384757549833
226.0,0.6610321673953778,0.6992291309046983,0.6783507367253802
227.0,0.6642081957705006,0.7021854536207006,0.6812272893931219
228.0,0.667214129561881,0.7050241591963888,0.6842528862405394
229.0,0.6701252565360936,0.7078882955051179,0.6871324197918747
230.0,0.6732817658606228,0.7107762731260728,0.6899881062744618
231.0,0.6764243330061569,0.7135514018691589,0.6928586971750166
232.0,0.6793577674667618,0.7163201729289846,0.695645823334953
233.0,0.6823330284643526,0.7191255006675568,0.6984001597753606
