value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
168.5,,0.006564449454076881,0.007993589125827663,,,
170.0,0.0081639918620686,,,,,
171.0,,,,0.009719594218568635,,
172.5,,,,,,0.007375881216546081
174.5,0.0076952348224310786,,,,,
174.5,,,,,0.006613539201208369,
175.5,,0.007222019990954747,0.008889993077210761,,,
178.5,,,,0.008700767995420649,,
180.0,,,,,,0.008997922351335197
182.0,0.00913341896477244,,,,,
239.0,,0.007075242863243563,,,,
239.5,,,,,0.006831110627853188,
240.0,,,0.008042216636443932,,,
241.5,,,,0.008321937956146348,,
242.5,,,,,,0.00860858896346241
243.5,0.008665987033374177,,,,,
