value,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability
95.6,,0.16650984229741428,,,,,
95.7,,,,0.010638297872340425,,,
95.9,,,,,0.13292241725847515,,
96.25,,,,0.007763082231167337,,,
96.35,,,0.002967581984147853,,,,
96.5,,,,,,0.017887039766466807,
96.75,,0.19278106063457412,,,,,
96.8,,,,0.009200690051753882,,,
97.4495,,0.04964432233053559,,,,,
97.5,0.0113882863340564,,,,,,
97.75,,0.03771312431781399,,,,,
97.9,,,0.003005146313061117,,,,
97.95,,0.04335880161089992,,,,,
98.2,,0.03620761037299108,,,,,
98.34949999999999,,,,,0.030818705614364197,,
98.55,,,,0.007858922752539774,,,
98.8,,,,,0.027133860377864128,,
99.0,,,,,,0.00967331110570525,
99.15,,,,,0.021506096743936755,,
99.2,,0.03421280439610072,,,,,
99.5,,,,,0.024855956049845907,,
99.85,,,,,0.024855956049845907,,
