Variable,Overall__Emory,Overall__MIMIC,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
  Ethnicity: Hispanic,"1,139 (4.0%)","1,239 (3.5%)","4,416 (9.2%)","1,554 (6.7%)","3,213 (18.7%)","1,208 (6.0%)","4,674 (16.2%)",840 (1.5%),"2,019 (3.4%)","20,302 (6.4%)"
  Ethnicity: Missing,36 (0.1%),,<10,,,,,,,36 (0.1%)
  Sex: Male,"15,918 (56.1%)","21,486 (60.9%)","28,691 (59.5%)","13,962 (59.9%)","9,580 (55.8%)","11,756 (58.6%)","16,524 (57.3%)","31,998 (57.5%)","35,295 (59.1%)","185,210 (58.5%)"
  Sex: Female,"12,404 (43.7%)","13,785 (39.1%)","19,531 (40.5%)","9,345 (40.1%)","7,591 (44.2%)","8,293 (41.4%)","12,310 (42.7%)","23,622 (42.5%)","24,412 (40.9%)","131,293 (41.5%)"
  Sex: Missing,36 (0.1%),,<10,,,,,,,36 (0.1%)
  Sex: Unknown,17 (0.1%),,<10,,,,18 (0.1%),<10,<10,
  Sex: Other,,,,,,,,<10,,
Encounter Types,,,,,,,,,,
"  ICU encounters, n (%)","33,340 (100.0%)","40,683 (100.0%)","56,341 (100.0%)","25,410 (100.0%)","20,981 (100.0%)","23,246 (100.0%)","33,374 (100.0%)","69,284 (100.0%)","72,099 (100.0%)","374,758 (100.0%)"
"  Advanced respiratory support, n (%)","33,340 (100.0%)","40,683 (100.0%)","56,341 (100.0%)","25,410 (100.0%)","20,981 (100.0%)","23,246 (100.0%)","33,374 (100.0%)","69,284 (100.0%)","72,099 (100.0%)","374,758 (100.0%)"
"  Vasoactive support, n (%)","19,944 (59.8%)","21,921 (53.9%)","36,374 (64.6%)","17,884 (70.4%)","10,330 (49.2%)","13,459 (57.9%)","19,476 (58.4%)","37,631 (54.3%)","42,682 (59.2%)","219,701 (58.6%)"
"  Other critically ill, n (%)",0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
"ICU episodes, total n","41,383","47,994","64,384","28,905","24,232","26,899","66,127","76,505","81,688","458,117"
"Encounters with >=1 ICU episode, n (%)","33,340 (100.0%)","40,683 (100.0%)","56,341 (100.0%)","25,410 (100.0%)","20,981 (100.0%)","23,246 (100.0%)","33,374 (100.0%)","69,284 (100.0%)","72,099 (100.0%)","374,758 (100.0%)"
"Hospital mortality, n (%)","8,159 (24.5%)","8,282 (20.4%)","13,122 (23.3%)","4,425 (17.4%)","4,739 (22.6%)","5,727 (24.6%)","6,334 (19.0%)","14,346 (20.7%)","15,782 (21.9%)","80,916 (21.6%)"
"  Discharged to hospice, n (%)","1,696 (5.1%)",918 (2.3%),"2,607 (4.6%)",865 (3.4%),"1,308 (6.2%)",667 (2.9%),701 (2.1%),"1,867 (2.7%)","3,137 (4.4%)","13,766 (3.7%)"
"  Expired, n (%)","7,398 (22.2%)","7,504 (18.4%)","10,521 (18.7%)","3,562 (14.0%)","4,227 (20.1%)","5,061 (21.8%)","5,633 (16.9%)","12,484 (18.0%)","13,736 (19.1%)","70,126 (18.7%)"
  First admission location: ed,"20,948 (62.8%)","6,433 (15.8%)","35,066 (62.2%)","7,646 (30.1%)","9,821 (46.8%)","14,632 (62.9%)",172 (0.5%),"47,031 (67.9%)","9,649 (13.4%)","151,398 (40.4%)"
  First admission location: stepdown,,"2,617 (6.4%)",518 (0.9%),537 (2.1%),236 (1.1%),,"2,283 (6.8%)",945 (1.4%),<10,"7,136 (2.9%)"
  First admission location: ward,"4,786 (14.4%)","12,529 (30.8%)","4,371 (7.8%)","2,002 (7.9%)","1,855 (8.8%)","2,145 (9.2%)","13,394 (40.1%)","4,645 (6.7%)","18,637 (25.8%)","64,364 (17.2%)"
  First admission location: icu,"4,289 (12.9%)","15,493 (38.1%)","5,089 (9.0%)","6,487 (25.5%)","5,840 (27.8%)","2,674 (11.5%)","13,162 (39.4%)","4,143 (6.0%)","32,083 (44.5%)","89,260 (23.8%)"
  First admission location: procedural,"3,161 (9.5%)","1,684 (4.1%)","10,410 (18.5%)","8,656 (34.1%)","3,195 (15.2%)","3,757 (16.2%)","3,161 (9.5%)","12,377 (17.9%)","11,402 (15.8%)","57,803 (15.4%)"
  First admission location: other,47 (0.1%),"1,883 (4.6%)",714 (1.3%),,,<10,647 (1.9%),,71 (0.1%),"3,362 (1.3%)"
  First admission location: radiology,44 (0.1%),,,,,,495 (1.5%),<10,52 (0.1%),591 (0.5%)
  First admission location: rehab,37 (0.1%),,,,,,<10,,21 (0.0%),58 (0.1%)
  First admission location: l&d,28 (0.1%),43 (0.1%),173 (0.3%),78 (0.3%),27 (0.1%),37 (0.2%),51 (0.2%),138 (0.2%),77 (0.1%),652 (0.2%)
  First admission location: dialysis,,,,<10,,,,,106 (0.1%),106 (0.1%)
  Admission type: ed,"25,981 (77.9%)","33,684 (82.8%)","40,983 (72.7%)","8,965 (35.3%)","12,815 (61.1%)","16,292 (70.1%)","25,481 (76.3%)","53,807 (77.7%)","38,530 (53.4%)","256,538 (68.5%)"
  Admission type: osh,"5,696 (17.1%)",,"7,339 (13.0%)","6,983 (27.5%)",<10,"5,049 (21.7%)",15 (0.0%),"4,994 (7.2%)","14,462 (20.1%)","44,538 (14.2%)"
  Admission type: facility,"1,633 (4.9%)",,"3,833 (6.8%)",18 (0.1%),"4,081 (19.5%)","1,023 (4.4%)",15 (0.0%),"3,196 (4.6%)","1,070 (1.5%)","14,869 (4.6%)"
  Admission type: direct,16 (0.0%),42 (0.1%),"3,293 (5.8%)","4,329 (17.0%)","1,592 (7.6%)",878 (3.8%),"5,561 (16.7%)","2,591 (3.7%)",530 (0.7%),"18,832 (5.0%)"
  Admission type: other,,,893 (1.6%),"5,077 (20.0%)",<10,<10,"2,302 (6.9%)",19 (0.0%),96 (0.1%),"8,387 (3.0%)"
  Admission type: elective,14 (0.0%),"6,957 (17.1%)",,38 (0.1%),"2,484 (11.8%)",,,"4,677 (6.8%)","17,411 (24.1%)","31,581 (11.5%)"
"ICU length of stay (days), median [Q1, Q3]","2.3 [1.1, 4.8]","2.0 [1.0, 4.1]","2.0 [1.0, 4.0]","1.9 [0.9, 3.7]","2.5 [1.1, 4.9]","2.1 [1.1, 4.5]","1.0 [0.3, 2.4]","2.1 [1.0, 4.2]","2.0 [1.0, 4.2]","2.0 [0.3, 4.9]"
"Hospital length of stay (days), median [Q1, Q3]","9.4 [5.3, 18.8]","8.8 [5.4, 15.8]","8.8 [5.1, 16.2]","8.7 [5.3, 16.6]","9.1 [5.0, 16.1]","9.9 [5.2, 18.7]","10.6 [5.7, 20.3]","8.2 [4.7, 15.1]","9.2 [5.3, 17.6]","9.1 [4.7, 20.3]"
"Resp. device onset, n (%)","33,340 (100.0%)","40,683 (100.0%)","56,341 (100.0%)","25,410 (100.0%)","20,981 (100.0%)","23,246 (100.0%)","33,374 (100.0%)","69,284 (100.0%)","72,099 (100.0%)","374,758 (100.0%)"
"  Pre-device LOS (days), median [Q1, Q3]","0.4 [0.0, 2.4]","0.4 [0.1, 1.8]","0.4 [0.1, 1.8]","0.4 [0.3, 1.0]","0.4 [0.1, 2.0]","0.3 [0.0, 1.4]","0.5 [0.1, 2.3]","0.4 [0.1, 1.5]","0.4 [0.1, 1.8]","0.4 [0, 2.4]"
"  Post-device LOS (days), median [Q1, Q3]","6.3 [2.9, 12.7]","6.9 [4.1, 13.0]","7.0 [3.9, 13.2]","7.7 [4.5, 14.4]","7.2 [3.9, 13.6]","8.1 [4.1, 15.8]","8.2 [4.7, 16.2]","5.5 [2.0, 10.6]","6.9 [3.8, 13.6]","6.9 [2, 16.2]"
"28-day VFD (IMV encounters), n (%)","21,476 (64.4%)","35,724 (87.8%)","38,460 (68.3%)","20,904 (82.3%)","13,937 (66.4%)","18,211 (78.3%)","26,740 (80.1%)","45,994 (66.4%)","49,099 (68.1%)","270,545 (72.2%)"
"  VFD, median [Q1, Q3]","24 [0, 26]","25 [9, 26]","25 [0, 26]","26 [20, 27]","24 [0, 26]","21 [0, 26]","25 [12, 27]","25 [2, 26]","25 [0, 26]","24.7 [0, 27]"
"Charlson Comorbidity Index, median [Q1, Q3]","3 [2, 5]","2 [0, 4]","3 [1, 5]","2 [0, 4]","3 [2, 5]","3 [1, 4]","3 [1, 5]","2 [1, 4]","2 [1, 4]","2.4 [0, 5]"
"Comorbidities, n (%)",,,,,,,,,,
  Congestive Heart Failure,"16,514 (49.5%)","7,056 (17.3%)","25,260 (44.8%)","7,207 (28.4%)","8,320 (39.7%)","9,821 (42.2%)","11,470 (34.4%)","26,787 (38.7%)","33,519 (46.5%)","145,954 (38.9%)"
  Renal Disease,"13,199 (39.6%)","5,145 (12.6%)","19,376 (34.4%)","4,887 (19.2%)","7,440 (35.5%)","7,191 (30.9%)","10,815 (32.4%)","21,609 (31.2%)","23,296 (32.3%)","112,958 (30.1%)"
  Chronic Pulmonary Disease,"11,901 (35.7%)","5,456 (13.4%)","18,705 (33.2%)","6,539 (25.7%)","6,804 (32.4%)","7,791 (33.5%)","9,703 (29.1%)","25,215 (36.4%)","24,267 (33.7%)","116,381 (31.1%)"
  Diabetes With Complications,"8,971 (26.9%)","3,560 (8.8%)","12,569 (22.3%)","3,369 (13.3%)","5,548 (26.4%)","4,306 (18.5%)","4,497 (13.5%)","12,941 (18.7%)","14,299 (19.8%)","70,060 (18.7%)"
  Peripheral Vascular Disease,"7,006 (21.0%)","2,630 (6.5%)","13,193 (23.4%)","3,679 (14.5%)","4,738 (22.6%)","2,237 (9.6%)","7,145 (21.4%)","11,257 (16.2%)","15,489 (21.5%)","67,374 (18.0%)"
  Cerebrovascular Disease,"6,216 (18.6%)","3,202 (7.9%)","11,842 (21.0%)","3,869 (15.2%)","6,414 (30.6%)","3,514 (15.1%)","9,196 (27.6%)","9,814 (14.2%)","10,962 (15.2%)","65,029 (17.4%)"
  Myocardial Infarction,"5,853 (17.6%)","4,733 (11.6%)","11,398 (20.2%)","3,708 (14.6%)","5,963 (28.4%)","3,296 (14.2%)","5,795 (17.4%)","13,964 (20.2%)","11,318 (15.7%)","66,028 (17.6%)"
  Diabetes Uncomplicated,"5,311 (15.9%)","3,588 (8.8%)","8,762 (15.6%)","4,103 (16.1%)","2,714 (12.9%)","3,399 (14.6%)","6,259 (18.8%)","12,386 (17.9%)","11,804 (16.4%)","58,326 (15.6%)"
  Cancer,"2,665 (8.0%)","1,635 (4.0%)","6,453 (11.5%)","3,089 (12.2%)","2,353 (11.2%)","1,689 (7.3%)","4,473 (13.4%)","6,231 (9.0%)","6,088 (8.4%)","34,676 (9.3%)"
  Mild Liver Disease,"2,537 (7.6%)","1,260 (3.1%)","4,207 (7.5%)","2,016 (7.9%)","2,118 (10.1%)","1,282 (5.5%)","3,050 (9.1%)","5,316 (7.7%)","4,873 (6.8%)","26,659 (7.1%)"
  Dementia,"2,213 (6.6%)","1,023 (2.5%)","3,142 (5.6%)",665 (2.6%),921 (4.4%),"1,079 (4.6%)","1,388 (4.2%)","3,368 (4.9%)","3,068 (4.3%)","16,867 (4.5%)"
  Metastatic Solid Tumor,"2,183 (6.5%)","1,065 (2.6%)","5,533 (9.8%)","1,872 (7.4%)","1,977 (9.4%)","1,495 (6.4%)","3,267 (9.8%)","3,191 (4.6%)","4,353 (6.0%)","24,936 (6.7%)"
  Hemiplegia,"1,705 (5.1%)","1,164 (2.9%)","3,851 (6.8%)","1,678 (6.6%)","1,833 (8.7%)","1,645 (7.1%)","3,099 (9.3%)","3,230 (4.7%)","3,719 (5.2%)","21,924 (5.9%)"
  Moderate Severe Liver Disease,"1,406 (4.2%)","1,442 (3.5%)","2,951 (5.2%)","1,442 (5.7%)","1,466 (7.0%)","1,280 (5.5%)","3,109 (9.3%)","3,841 (5.5%)","2,880 (4.0%)","19,817 (5.3%)"
  Connective Tissue Disease,"1,365 (4.1%)",661 (1.6%),"2,657 (4.7%)",760 (3.0%),919 (4.4%),684 (2.9%),"1,374 (4.1%)","2,968 (4.3%)","2,742 (3.8%)","14,130 (3.8%)"
  Peptic Ulcer Disease,866 (2.6%),659 (1.6%),"2,361 (4.2%)",646 (2.5%),734 (3.5%),720 (3.1%),"1,239 (3.7%)","1,950 (2.8%)","1,662 (2.3%)","10,837 (2.9%)"
  Aids,479 (1.4%),102 (0.3%),226 (0.4%),114 (0.4%),192 (0.9%),192 (0.8%),613 (1.8%),163 (0.2%),439 (0.6%),"2,520 (0.7%)"
SOFA Scores,,,,,,,,,,
"  Total SOFA score, median [Q1, Q3]","5.0 [2.0, 9.0]","5.0 [3.0, 8.0]","6.0 [3.0, 10.0]","5.0 [2.0, 8.0]","4.0 [2.0, 7.0]","6.0 [3.0, 10.0]","7.0 [3.0, 10.0]","5.0 [2.0, 9.0]","4.0 [2.0, 7.0]","5.1 [2, 10]"
"    Respiratory, median [Q1, Q3]","0.0 [0.0, 1.0]","2.0 [0.0, 3.0]","0.0 [0.0, 2.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 2.0]","0.0 [0.0, 2.0]","0.0 [0.0, 2.0]","0.0 [0.0, 0.0]","0.2 [0, 3]"
"    Coagulation, median [Q1, Q3]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0 [0, 1]"
"    Liver, median [Q1, Q3]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0.0 [0.0, 1.0]","0.0 [0.0, 0.0]","0.0 [0.0, 0.0]","0 [0, 1]"
"    Cardiovascular, median [Q1, Q3]","1.0 [0.0, 3.0]","1.0 [1.0, 3.0]","1.0 [1.0, 3.0]","1.0 [1.0, 3.0]","1.0 [0.0, 3.0]","1.0 [0.0, 3.0]","1.0 [1.0, 3.0]","1.0 [0.0, 3.0]","1.0 [0.0, 3.0]","1 [0, 3]"
"    CNS, median [Q1, Q3]","1.0 [0.0, 3.0]","0.0 [0.0, 1.0]","2.0 [0.0, 3.0]","2.0 [0.0, 3.0]","0.0 [0.0, 2.0]","3.0 [0.0, 4.0]","3.0 [1.0, 4.0]","1.0 [0.0, 3.0]","1.0 [0.0, 3.0]","1.4 [0, 4]"
"    Renal, median [Q1, Q3]","1.0 [0.0, 2.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 2.0]","1.0 [0.0, 2.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.0 [0.0, 1.0]","0.2 [0, 2]"
"  P/F ratio, median [Q1, Q3]","211 [120, 324]","177 [100, 278]","227 [143, 325]","232 [127, 373]","282 [156, 430]","246 [153, 346]","204 [111, 308]","202 [130, 292]","202 [120, 318]","213.3 [100, 430]"
"  P/F ratio (imputed), median [Q1, Q3]","106 [64, 159]","82 [64, 136]","112 [67, 151]","147 [81, 223]","148 [95, 203]","117 [71, 151]","81 [61, 136]","102 [67, 142]","134 [86, 177]","112.5 [61, 223]"
"CRRT, n (%)","4,432 (13.3%)","2,949 (7.2%)","4,346 (7.7%)","1,513 (6.0%)","3,646 (17.4%)","2,882 (12.4%)","1,419 (4.3%)","3,711 (5.4%)","6,052 (8.4%)","30,950 (8.3%)"
"Sepsis events (CDC ASE), n","21,838","18,471","35,225","13,898","11,607","17,624","27,040","12,275","44,301","202,279"
"Encounters with >=1 sepsis event, n (%)","11,607 (34.8%)","9,206 (22.6%)","19,169 (34.0%)","7,021 (27.6%)","6,339 (30.2%)","10,297 (44.3%)","13,382 (40.1%)","7,162 (10.3%)","25,709 (35.7%)","109,892 (29.3%)"
"Invasive mechanical ventilation, n (%)","21,476 (64.4%)","35,724 (87.8%)","38,460 (68.3%)","20,904 (82.3%)","13,937 (66.4%)","18,211 (78.3%)","26,740 (80.1%)","45,994 (66.4%)","49,099 (68.1%)","270,545 (72.2%)"
Ventilator hours (millions),2.47,3.01,4.18,1.32,1.46,2.43,2.77,4.97,5.89,28
  First location at IMV start: icu,"13,453 (62.6%)","35,112 (98.3%)","29,514 (76.7%)","7,831 (37.5%)","11,818 (84.8%)","12,842 (70.5%)","18,875 (70.6%)","34,685 (75.4%)","41,089 (83.7%)","205,219 (75.9%)"
  First location at IMV start: ed,"4,186 (19.5%)",59 (0.2%),"6,947 (18.1%)","1,722 (8.2%)","1,241 (8.9%)","4,769 (26.2%)","2,352 (8.8%)","6,329 (13.8%)","6,091 (12.4%)","33,696 (12.8%)"
  First location at IMV start: procedural,"2,437 (11.3%)",160 (0.4%),"1,481 (3.9%)","10,869 (52.0%)",701 (5.0%),429 (2.4%),"2,408 (9.0%)","4,558 (9.9%)","1,538 (3.1%)","24,581 (8.9%)"
  First location at IMV start: stepdown,,61 (0.2%),61 (0.2%),50 (0.2%),54 (0.4%),,21 (0.1%),102 (0.2%),,349 (0.2%)
  First location at IMV start: ward,"1,323 (6.2%)",299 (0.8%),383 (1.0%),395 (1.9%),96 (0.7%),171 (0.9%),86 (0.3%),311 (0.7%),362 (0.7%),"3,426 (1.2%)"
  First location at IMV start: hospice,27 (0.1%),,,<10,25 (0.2%),,,,,52 (0.1%)
  First location at IMV start: radiology,20 (0.1%),,,,,,874 (3.3%),<10,15 (0.0%),909 (0.8%)
  First location at IMV start: l&d,16 (0.1%),,<10,20 (0.1%),<10,,<10,<10,,
  First location at IMV start: dialysis,,,,16 (0.1%),,,,<10,<10,
  First location at IMV start: rehab,14 (0.1%),,,,,,182 (0.7%),,,196 (0.5%)
  Initial ventilator mode: pressure-regulated volume control,"9,808 (45.7%)","13,470 (37.7%)","2,364 (6.1%)",433 (2.1%),"10,484 (75.2%)",41 (0.2%),200 (0.7%),412 (0.9%),<10,"37,212 (16.5%)"
  Initial ventilator mode: assist control-volume control,"6,046 (28.2%)","18,597 (52.1%)","30,261 (78.7%)","10,562 (50.5%)","1,147 (8.2%)","16,416 (90.1%)","21,727 (81.3%)","39,967 (86.9%)","30,299 (61.7%)","175,022 (64.7%)"
  Initial ventilator mode: simv,"2,617 (12.2%)",572 (1.6%),"2,459 (6.4%)",416 (2.0%),113 (0.8%),221 (1.2%),327 (1.2%),"2,570 (5.6%)","15,159 (30.9%)","24,454 (9.0%)"
  Initial ventilator mode: pressure support/cpap,"1,372 (6.4%)","2,354 (6.6%)",965 (2.5%),"2,530 (12.1%)",372 (2.7%),812 (4.5%),905 (3.4%),"1,032 (2.2%)","2,556 (5.2%)","12,898 (4.8%)"
  Initial ventilator mode: Missing,649 (3.0%),290 (0.8%),"1,016 (2.6%)",344 (1.6%),150 (1.1%),271 (1.5%),"2,700 (10.1%)",418 (0.9%),615 (1.3%),"6,453 (2.4%)"
  Initial ventilator mode: standby,,,,51 (0.2%),,,,,,51 (0.2%)
  Initial ventilator mode: pressure control,597 (2.8%),194 (0.5%),"1,256 (3.3%)","5,451 (26.1%)","1,583 (11.4%)",358 (2.0%),694 (2.6%),507 (1.1%),308 (0.6%),"10,948 (4.0%)"
  Initial ventilator mode: other,362 (1.7%),223 (0.6%),122 (0.3%),"1,104 (5.3%)",86 (0.6%),84 (0.5%),153 (0.6%),268 (0.6%),154 (0.3%),"2,556 (0.9%)"
  Initial ventilator mode: aprv,,,,,,,,46 (0.1%),,46 (0.1%)
  Initial ventilator mode: blow by,25 (0.1%),21 (0.1%),15 (0.0%),,<10,<10,34 (0.1%),774 (1.7%),,869 (0.5%)
  Initial ventilator mode: ,,,<10,,,,,,,
"  FiO2 (%), median [Q1, Q3]","0.3 [0.2, 0.4]","0.4 [0.4, 0.5]","0.3 [0.2, 0.4]","0.3 [0.2, 0.5]","0.3 [0.2, 0.4]","0.4 [0.4, 0.4]","0.3 [0.2, 0.4]","0.3 [0.2, 0.4]","0.3 [0.2, 0.4]","0.3 [0.2, 0.5]"
"  PEEP (cmH2O), median [Q1, Q3]","6.0 [6.0, 6.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 6.0]","8.0 [8.0, 8.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.1]","5.3 [5, 8]"
"  Respiratory rate (breaths/min), median [Q1, Q3]","16.0 [16.0, 18.0]","16.0 [16.0, 17.0]","16.0 [16.0, 16.0]","16.0 [14.0, 18.0]","16.0 [16.0, 16.0]","15.0 [14.0, 16.0]","16.0 [14.0, 16.0]","16.0 [15.0, 16.0]","19.0 [17.0, 20.0]","16.5 [14, 20]"
"  Tidal volume (mL), median [Q1, Q3]","420.0 [410.0, 420.0]","450.0 [450.0, 450.0]","450.0 [450.0, 470.0]","450.0 [450.0, 475.0]","400.0 [400.0, 400.0]","450.0 [420.0, 450.0]","450.0 [440.0, 450.0]","500.0 [480.0, 500.0]","450.0 [450.0, 450.0]","453.8 [400, 500]"
"Time to extubation (hrs), median [Q1, Q3]","30.5 [10.4, 80.8]","42.0 [15.9, 113.7]","34.0 [13.2, 88.6]","18.3 [7.1, 50.2]","22.8 [11.7, 63.5]","40.7 [18.7, 89.0]","22.6 [11.0, 61.6]","35.7 [12.8, 92.7]","24.7 [9.5, 74.9]","30.8 [7.1, 113.7]"
  Extubation outcome: extubated,"13,472 (62.7%)","22,331 (62.5%)","21,672 (56.3%)","17,054 (81.6%)","8,983 (64.5%)","9,545 (52.4%)","19,182 (71.7%)","27,657 (60.1%)","30,369 (61.9%)","170,265 (62.9%)"
  Extubation outcome: death_on_imv,"3,891 (18.1%)","5,349 (15.0%)","6,009 (15.6%)","2,051 (9.8%)","2,415 (17.3%)","3,564 (19.6%)","2,729 (10.2%)","6,842 (14.9%)","7,470 (15.2%)","40,320 (14.9%)"
  Extubation outcome: discharged_on_imv,"3,632 (16.9%)","7,503 (21.0%)","10,031 (26.1%)","1,661 (7.9%)","2,357 (16.9%)","4,719 (25.9%)","4,396 (16.4%)","10,751 (23.4%)","10,356 (21.1%)","55,406 (20.5%)"
  Extubation outcome: failed_attempt,481 (2.2%),541 (1.5%),748 (1.9%),138 (0.7%),180 (1.3%),383 (2.1%),433 (1.6%),744 (1.6%),904 (1.8%),"4,552 (1.7%)"
  Extubation outcome: unknown,,,,,<10,,,,,
"Pre-admit IMV (excluded from time-to-extubation), n (%)","5,920 (17.8%)","23,562 (57.9%)","5,573 (9.9%)","10,273 (40.4%)","3,948 (18.8%)","5,489 (23.6%)","7,266 (21.8%)","8,920 (12.9%)","11,519 (16.0%)","82,470 (22.0%)"
"Intubated ≤24hr of admission, n (%)","3,234 (9.7%)","2,505 (6.2%)","8,442 (15.0%)","4,313 (17.0%)","2,674 (12.7%)","4,619 (19.9%)","5,384 (16.1%)","10,055 (14.5%)","8,970 (12.4%)","50,196 (13.4%)"
"Reintubation (≥2 IMV episodes), n (%)","3,870 (11.6%)","3,216 (7.9%)","4,550 (8.1%)","2,129 (8.4%)","1,943 (9.3%)","2,442 (10.5%)","4,448 (13.3%)","4,836 (7.0%)","6,924 (9.6%)","34,358 (9.2%)"
"  Time to reintubation (hrs), median [Q1, Q3]","4.7 [2.2, 33.5]","37.0 [11.6, 107.0]","16.5 [3.8, 89.6]","47.4 [13.2, 124.0]","35.2 [10.2, 120.7]","25.2 [5.5, 89.6]","14.4 [3.0, 80.4]","24.9 [6.2, 98.0]","15.2 [3.6, 82.8]","22.5 [2.2, 124]"
"  Extubation failure ≤48hr, n (% of extubated)","3,025 (22.5%)","1,790 (8.0%)","2,897 (13.4%)","1,073 (6.3%)","1,077 (12.0%)","1,521 (15.9%)","2,906 (15.1%)","2,934 (10.6%)","4,550 (15.0%)","21,773 (12.8%)"
"28-day NIDFD (NIPPV/HFNC encounters), n (%)","20,106 (60.3%)","7,759 (19.1%)","29,000 (51.5%)","7,209 (28.4%)","8,689 (41.4%)","8,780 (37.8%)","11,241 (33.7%)","39,857 (57.5%)","43,467 (60.3%)","176,108 (47.0%)"
"  NIDFD, median [Q1, Q3]","23 [9, 26]","25 [0, 27]","23 [4, 26]","23 [4, 26]","23 [1, 26]","23 [4, 26]","23 [1, 26]","24 [9, 26]","24 [12, 26]","23.6 [0, 27]"
"Vasopressor encounters, n (%)","19,943 (59.8%)","21,921 (53.9%)","36,374 (64.6%)","17,884 (70.4%)","10,330 (49.2%)","13,457 (57.9%)","19,476 (58.4%)","37,631 (54.3%)","42,682 (59.2%)","219,698 (58.6%)"
"  Norepinephrine, n (%)","19,041 (57.1%)","11,859 (29.1%)","31,668 (56.2%)","14,650 (57.7%)","9,680 (46.1%)","10,389 (44.7%)","16,778 (50.3%)","27,256 (39.3%)","33,238 (46.1%)","174,559 (46.6%)"
"    Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.05 [0.03, 0.07]","0.07 [0.03, 0.12]","0.05 [0.02, 0.07]","0.02 [0.02, 0.04]","0.06 [0.04, 0.09]","0.08 [0.05, 0.13]","0.05 [0.03, 0.08]","0.05 [0.03, 0.07]","0.05 [0.03, 0.07]","0.1 [0.0, 0.1]"
