value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
66.5,,0.05660100709230039,,,0.05920026126317708,
67.0,0.08626649086243009,,0.08866322879272806,,,0.08041302700137581
68.5,,,,0.0691380474193754,,
70.5,,0.07145874582044391,,,0.07389798584318133,
71.0,0.06757741561765254,,0.07048955620546102,,,
71.5,,,,,,0.07657251371958364
72.5,,,,0.09945073912747118,,
76.5,0.07658761027925078,0.06279818268133455,0.07989196895893852,,0.06427469088920619,
77.0,,,,,,0.06263915831449195
77.5,,,,0.07667004549322438,,
80.9995,0.022648493190407293,0.018883236968141554,0.023605201324230277,0.03819539878582124,0.019515144150438982,0.023632267198174284
83.0,0.012132458243990906,,,,,
83.5,,0.01429072382067564,0.01781641621763237,,0.01513230245769663,0.018337504695258747
84.0,,,,0.040985679199108165,,
86.0,0.0181156818453001,,,,,
86.5,,,0.013632410297853259,,,
87.0,,0.01407386368879597,,,0.015022025093416776,0.018489037382116384
88.5,,,,0.03691679511338125,,
91.0,0.01631413439303715,,,,,
91.5,,,0.019230658673979335,,,
92.5,,0.015133556106278895,,,0.015881459428258953,0.019740104362160116
94.4995,0.003888972470836802,,,,,
94.5,,,,0.03219706547814061,,
95.4995,,,0.0037569408342387933,,,
96.0,0.0030580981305463866,,,,,
96.4995,,0.003028864442423379,,,0.0031988030500956955,0.004082637647086794
97.0,,,0.00304530257150671,,,
97.5,,0.0012842426249611652,,,0.001386517604885014,0.0017711151371042882
97.5,0.0012958690828190312,,,,,
98.4995,,,,0.006854766893949555,,
98.5,,0.001168378819276046,0.0012935144417807627,,0.0012454051098216728,0.0015871989995836608
99.0,0.002166061827645043,,,,,
99.5,,,,0.0027968768208833468,,
99.5,,,,,0.0010297110915332504,0.0013416586584807132
100.0,,0.0018297253207530532,0.001953822766346943,,,
100.5,,,,0.00260448159932101,,
101.0,0.0016448199230724493,,,,0.0017803870340553512,0.002285971010936178
102.0,,,,0.00448225896176942,,
102.0,,0.0014739311563925549,0.0015427726215143892,,,
103.5,0.00178298042789892,,,,0.0020568399307348785,0.0026450583879081015
104.0,,,,0.003696187056529014,,
104.0,,0.001187347672419185,,,,
104.5,,,0.0018359692283180288,,,
106.5,,,,0.004502048184558689,,
106.5,,,,,0.0015330983990035545,0.001978123271089244
107.0,0.0016328059661310172,0.0018097311241967715,,,,
108.0,,,0.0016671963916285388,,,
109.5,,,,0.0033586708678453713,,
110.0,,,,,,0.001807871036801947
110.5,,,,,0.0016338062399368107,
111.5,,0.00144881024277056,,,,
113.5,0.0019088539313080169,,,,,
113.5,,,0.0016294175571384339,,,
113.5,,,,0.003808325985668205,,
116.5,,,,,,0.002133891767949211
118.0,,,,,0.0016315277819971444,
119.0,,0.0016267073249508091,,,,
121.0,,,,0.0038193199983289103,,
158.5,,,0.0018503416110044817,,,
159.0,0.0018091926975893175,,,,,
160.5,,,,,,0.0021463259198915416
161.5,,,,,0.001632439165173011,
162.0,,0.0016379861024953782,,,,
163.0,,,,0.003823717603393192,,
