value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
76.5,,,0.0027108741692835757,,,
77.5,,,,,,0.02827604737201083
77.5,,,0.0031494715756747453,,,
78.0,,0.029158522894273974,,,,
78.0,0.021213215506733246,,,,,
78.0,,,,,0.030511334697153485,
78.5,,,,0.03186446941901471,,
80.5,,,0.024897392828452495,,,
83.0,,,,,0.03217709335664437,0.02612942562470289
83.0,0.023416168919844427,,,,,
83.5,,,,0.02195837637587718,,
83.5,,0.01984257918526415,,,,
84.5,,,0.02380778499963485,,,
86.5,,,,0.027265967299540485,0.031530606518721895,0.02499913881597531
86.5,0.023628965198538375,0.026684634869878945,,,,
87.5,,,0.03219246538898916,,,
89.0,,,,0.021844833113667937,0.025094790291627034,0.020085705034137334
89.0,0.019421742023944425,0.022281978966289542,,,,
89.5,,,0.013263085413819365,,,
92.9995,,,0.1075861493359485,,,
93.4995,0.09771361605629554,0.1178736093387986,,0.10637556548997257,0.12293081780432091,0.10122990857670394
99.0,,,0.11166414539232768,,,
99.5,,,,,0.09259807738973447,
100.0,0.09292556142659289,0.11247439762679706,,0.09579043921205428,,0.09628409427553755
105.0,,,0.11265610165778135,,0.11364743195030308,
105.5,,0.09778137645153037,,0.08265281587290278,,
106.0,0.09987561517909892,,,,,0.10293339947226643
111.0,,0.10925721074530123,0.10444877987710091,0.09683681829515906,0.10606833708386423,
111.5,,,,,,0.08460795458459927
112.0,0.09959529966503265,,,,,
117.0,,0.09530131142832288,0.0912574725354978,0.08930511523527945,0.09236657760907821,0.094223039772923
117.5,0.07782062297563358,,,,,
121.9995,,0.0691031152149261,,,0.06690083720657135,
122.4995,0.0844303133695004,,0.07717895483615195,0.0800569052114131,,0.08459996279685013
127.0,,0.06875668853152662,,,0.06558706830604394,
128.0,,,0.06444043358963392,,,0.07143528374291246
128.5,0.08386774531412355,,,0.08031293413600256,,
133.5,,,,,0.05914100737267168,
134.0,,0.07049242519783125,,,,
135.0,,,0.06842620316950267,,,
135.5,,,,,,0.083105085119429
136.5,0.08455234608589056,,,0.0810453994941759,,
143.0,,,,,0.06507743239525973,
143.5,,0.06402098944196478,,,,
145.0,,,0.06839824310648819,,,
146.0,,,,,,0.07333305775444543
147.0,,,,0.07481499127275318,,
147.5,0.08140329322303347,,,,,
149.4995,,0.008849580298668188,,,0.007734447427301959,
151.0,,0.00782419849579784,,,0.00700325063001121,
151.4995,,,0.008437679314769799,,,
152.4995,,,,,,0.009154455077196536
153.0,,,0.00760138131057579,,,
153.0,,0.007192600367222579,,,0.0062174663679289924,
153.4995,,,,0.009780304919317494,,
154.0,,,,,,0.00838242082274077
154.4995,0.009465975424658634,,,,,
155.0,,0.006555339989735887,,,0.005568227220857366,
155.0,,,,0.009162495992590745,,
155.0,,,0.0070488570802599865,,,
156.0,0.008682309545255182,,,,,
156.0,,,,,,0.007644696139828728
157.0,,0.005808437883327817,,,,
157.0,,,,0.008339863926192428,,
157.0,,,0.006283085205162179,,,
157.5,,,,,0.007242395713859543,
158.0,0.00784938783021126,,,,,
158.5,,,,,,0.0100640031967151
159.0,,,,0.007728734014889752,,
159.5,,,0.008188125319506316,,,
159.5,,0.0071431843767228035,,,,
160.5,0.010316607103078905,,,,,
160.5,,,,,0.005903244406734411,
161.5,,,,0.008782905282655932,,0.008377322613314593
162.5,,,0.006677447287978216,,,
163.0,,0.007490640559924352,,,,
163.5,0.008660172091034746,,,,,
164.0,,,,,0.006341931903896092,
164.5,,,,0.007548400598439782,,0.006954371025635726
166.0,,,0.007276293413735903,,,
166.5,0.007325560319720183,,,,,
168.0,,0.00781596249738121,,,,
168.0,,,,0.007956933708545577,,0.007470530282675044
169.0,,,,,0.00672266800286179,
170.0,0.007805666358125899,,,,,
171.0,,,0.007656466807858029,,,
173.0,,,,0.008738378513162113,,0.00811855403757518
175.0,0.008549484819932564,,,,,
175.0,,0.006353558028528469,,,,
177.0,,,,,0.006366549780174598,
178.5,,,0.006985007981137391,,,
180.5,,,,0.00772428133794037,,
181.0,,,,,,0.007882382930643684
183.0,0.008260314324178113,,,,,
238.5,,0.007134433628405135,,,,
239.0,,,,0.008248584048730096,,
241.0,,,,,0.006157221378775384,
241.5,,,0.006752981189554621,,,
243.0,,,,,,0.008056135419465515
244.0,0.008401994031188905,,,,,
