Variable,Overall__Emory,Overall__MIMIC,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
  Peripheral Vascular Disease,"45,995 (9.9%)","13,566 (3.3%)","9,343 (4.6%)","24,001 (12.1%)","24,078 (12.6%)","5,804 (3.7%)","81,085 (8.1%)","80,563 (11.3%)","284,435 (8.5%)"
  Cancer,"37,767 (8.1%)","16,077 (3.9%)","26,682 (13.3%)","26,852 (13.5%)","2,819 (1.5%)","10,388 (6.6%)","90,132 (9.0%)","73,678 (10.3%)","284,395 (8.5%)"
  Myocardial Infarction,"35,651 (7.7%)","17,504 (4.2%)","11,665 (5.8%)","21,740 (11.0%)","18,582 (9.7%)","4,951 (3.1%)","92,851 (9.3%)","57,215 (8.0%)","260,159 (7.8%)"
  Cerebrovascular Disease,"34,954 (7.5%)","14,484 (3.5%)","11,517 (5.7%)","20,483 (10.3%)","41,014 (21.5%)","6,355 (4.0%)","81,424 (8.1%)","55,365 (7.8%)","265,596 (8.0%)"
  Metastatic Solid Tumor,"24,089 (5.2%)","9,993 (2.4%)","13,316 (6.6%)","17,280 (8.7%)","63,781 (33.5%)","8,917 (5.6%)","48,855 (4.9%)","48,666 (6.8%)","234,897 (7.0%)"
  Mild Liver Disease,"23,007 (5.0%)","11,628 (2.8%)","12,995 (6.5%)","16,320 (8.2%)","4,530 (2.4%)","4,520 (2.9%)","58,557 (5.9%)","37,732 (5.3%)","169,289 (5.1%)"
  Dementia,"21,603 (4.7%)","9,149 (2.2%)","6,128 (3.0%)","7,307 (3.7%)","13,572 (7.1%)","4,360 (2.8%)","65,088 (6.5%)","34,106 (4.8%)","161,313 (4.8%)"
  Connective Tissue Disease,"15,465 (3.3%)","5,920 (1.4%)","5,150 (2.6%)","8,610 (4.3%)","1,465 (0.8%)","2,880 (1.8%)","39,490 (4.0%)","24,975 (3.5%)","103,955 (3.1%)"
  Hemiplegia,"8,796 (1.9%)","4,347 (1.0%)","5,617 (2.8%)","3,810 (1.9%)",,"3,113 (2.0%)","19,699 (2.0%)","15,386 (2.2%)","60,768 (1.9%)"
  Moderate Severe Liver Disease,"6,958 (1.5%)","7,029 (1.7%)","5,738 (2.9%)","6,379 (3.2%)",395 (0.2%),"2,473 (1.6%)","23,563 (2.4%)","12,633 (1.8%)","65,168 (2.0%)"
  Peptic Ulcer Disease,"5,937 (1.3%)","3,066 (0.7%)","2,624 (1.3%)","3,139 (1.6%)","2,548 (1.3%)","1,891 (1.2%)","18,461 (1.8%)","9,221 (1.3%)","46,887 (1.4%)"
  Aids,"4,355 (0.9%)",983 (0.2%),"1,043 (0.5%)","1,647 (0.8%)","14,223 (7.5%)",677 (0.4%),"2,091 (0.2%)","3,873 (0.5%)","28,892 (0.8%)"
"CRRT, n (%)","5,164 (1.1%)","2,229 (0.5%)",886 (0.4%),"4,898 (2.5%)",656 (0.3%),"1,907 (1.2%)","2,432 (0.2%)","4,653 (0.7%)","22,825 (0.6%)"
"Sepsis events (CDC ASE), n","28,766","14,223","16,565","14,211","7,372","19,844","12,939","53,703","167,623"
"Encounters with >=1 sepsis event, n (%)","15,245 (3.3%)","7,321 (1.8%)","8,165 (4.1%)","7,364 (3.7%)","5,079 (2.7%)","11,350 (7.2%)","7,701 (0.8%)","31,478 (4.4%)","93,703 (2.8%)"
"Vasopressor encounters, n (%)","31,920 (6.9%)","19,956 (4.8%)","47,424 (23.6%)","10,342 (5.2%)","12,028 (6.3%)","20,728 (13.1%)","87,814 (8.8%)","55,461 (7.8%)","285,673 (8.6%)"
"  Norepinephrine, n (%)","24,919 (5.4%)","10,434 (2.5%)","18,200 (9.1%)","8,897 (4.5%)","11,820 (6.2%)","9,083 (5.7%)","25,796 (2.6%)","37,402 (5.3%)","146,551 (4.4%)"
"    Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.04 [0.02, 0.06]","0.06 [0.03, 0.10]","0.02 [0.02, 0.04]","0.06 [0.03, 0.08]","0.06 [0.03, 0.08]","0.06 [0.04, 0.10]","0.04 [0.03, 0.06]","0.04 [0.02, 0.06]","0.0 [0.0, 0.1]"
"  Epinephrine, n (%)","7,991 (1.7%)","2,294 (0.6%)","2,564 (1.3%)","1,693 (0.9%)",949 (0.5%),"2,596 (1.6%)","11,366 (1.1%)","18,602 (2.6%)","48,055 (1.5%)"
"    Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.04 [0.03, 0.05]","0.02 [0.01, 0.03]","0.02 [0.01, 0.03]","0.03 [0.02, 0.04]","0.07 [0.05, 0.09]","0.06 [0.04, 0.10]","0.03 [0.02, 0.04]","0.02 [0.02, 0.03]","0.0 [0.0, 0.1]"
"  Phenylephrine, n (%)","9,571 (2.1%)","12,841 (3.1%)","32,376 (16.1%)","2,554 (1.3%)",328 (0.2%),"13,722 (8.7%)","62,936 (6.3%)","26,186 (3.7%)","160,514 (4.8%)"
"    Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.50 [0.28, 0.50]","0.50 [0.25, 0.75]","0.06 [0.03, 0.09]","0.41 [0.30, 0.54]","0.97 [0.66, 1.14]","0.40 [0.24, 0.50]","0.30 [0.20, 0.45]","0.43 [0.25, 0.65]","0.4 [0.0, 1.1]"
"  Vasopressin, n (%)","9,508 (2.1%)","3,103 (0.7%)","4,461 (2.2%)","2,857 (1.4%)","2,411 (1.3%)","4,041 (2.6%)","9,658 (1.0%)","12,404 (1.7%)","48,443 (1.4%)"
